"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!In labor force!!Estimate","Hawaii County, Hawaii!!Employed!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!In labor force!!Estimate","Honolulu County, Hawaii!!Employed!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!In labor force!!Estimate","Kauai County, Hawaii!!Employed!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!In labor force!!Estimate","Maui County, Hawaii!!Employed!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,128,541","64.8%","57.0%","6.1%","152,146","60.0%","54.1%","9.7%","792,150","64.9%","56.2%","5.2%","55,818","63.8%","59.8%","5.8%","128,330","69.6%","64.7%","7.0%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","63,512","36.1%","24.0%","28.1%","8,282","41.0%","28.6%","30.2%","44,804","35.0%","22.8%","27.1%","3,682","40.1%","36.3%","9.5%","6,729","35.2%","20.1%","42.8%"
"    20 to 24 years","105,126","74.6%","56.5%","8.7%","10,876","65.0%","56.0%","13.0%","81,174","74.4%","53.5%","7.7%","3,644","87.0%","86.0%","1.2%","9,424","83.4%","71.8%","13.8%"
"    25 to 44 years","381,341","82.7%","70.6%","5.9%","46,476","78.3%","69.5%","11.0%","275,275","82.7%","68.7%","4.9%","16,961","86.0%","79.7%","6.4%","42,620","86.4%","80.8%","6.2%"
"    45 to 54 years","180,050","82.5%","78.2%","4.3%","23,906","78.1%","73.4%","6.0%","123,340","83.1%","78.9%","3.7%","9,272","79.4%","77.3%","2.7%","23,524","84.9%","79.6%","6.2%"
"    55 to 64 years","178,404","69.6%","66.6%","4.4%","30,498","63.2%","59.0%","6.6%","114,981","71.0%","68.4%","3.6%","10,467","63.0%","57.1%","9.3%","22,422","74.4%","71.7%","3.7%"
"    65 to 74 years","120,992","28.7%","27.8%","3.3%","19,158","27.4%","24.8%","9.5%","80,682","27.9%","27.3%","2.1%","6,889","31.3%","29.0%","7.4%","14,263","34.2%","34.0%","0.7%"
"    75 years and over","99,116","6.7%","6.4%","4.1%","12,950","9.9%","9.9%","0.0%","71,894","6.0%","5.7%","6.3%","4,903","4.9%","4.9%","0.0%","9,348","8.4%","8.4%","0.0%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","310,690","66.6%","53.4%","5.7%","58,221","58.1%","52.8%","8.8%","182,671","68.7%","50.0%","3.8%","21,010","62.5%","56.2%","9.1%","48,749","70.5%","65.5%","6.7%"
"        Black or African American","24,128","75.0%","41.0%","12.0%","N","N","N","N","22,418","76.1%","40.9%","10.2%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
