"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,153,457","65.3%","59.0%","4.2%","161,776","58.8%","55.4%","5.5%","800,748","66.3%","58.7%","3.9%","57,563","66.5%","63.6%","3.7%","133,300","66.6%","63.4%","4.4%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","62,281","38.1%","29.8%","14.7%","9,373","45.4%","40.9%","9.9%","43,274","35.9%","26.7%","14.7%","3,196","32.9%","25.1%","23.7%","6,438","44.9%","36.8%","18.0%"
"    20 to 24 years","93,432","83.1%","61.8%","9.4%","10,257","71.2%","57.0%","19.9%","71,550","84.3%","59.8%","7.9%","3,661","83.2%","80.3%","3.5%","7,964","87.7%","77.5%","11.6%"
"    25 to 29 years","104,970","83.0%","68.6%","5.0%","11,534","76.1%","69.9%","7.6%","79,403","83.8%","66.9%","4.4%","3,898","84.6%","80.7%","0.6%","10,135","83.4%","75.8%","7.7%"
"    30 to 34 years","101,094","81.9%","74.5%","2.8%","12,360","75.6%","71.6%","4.6%","73,113","82.5%","73.3%","2.8%","4,570","91.6%","90.7%","0.9%","11,051","80.9%","78.9%","1.8%"
"    35 to 44 years","181,837","86.0%","78.3%","4.0%","23,500","80.5%","76.3%","4.8%","125,019","86.1%","77.4%","3.3%","10,159","91.5%","84.7%","6.3%","23,141","88.5%","82.8%","5.6%"
"    45 to 54 years","173,608","82.9%","79.3%","2.7%","23,807","76.7%","74.5%","2.8%","120,213","83.9%","79.6%","2.8%","7,996","85.4%","82.0%","4.0%","21,592","83.6%","81.5%","2.1%"
"    55 to 59 years","94,201","78.9%","76.0%","3.4%","14,766","68.4%","63.9%","6.7%","62,639","80.3%","77.2%","3.6%","5,240","82.2%","81.8%","0.5%","11,518","83.0%","82.5%","0.6%"
"    60 to 64 years","88,284","63.0%","61.3%","2.6%","16,089","54.3%","53.4%","1.7%","54,849","65.9%","63.9%","3.0%","4,875","69.3%","67.5%","2.6%","12,459","58.7%","57.6%","1.9%"
"    65 to 74 years","144,861","30.5%","30.2%","1.2%","25,695","30.8%","30.5%","0.8%","92,855","30.3%","29.9%","1.4%","8,325","32.9%","32.3%","1.8%","17,986","30.1%","29.9%","0.6%"
"    75 years and over","108,889","7.0%","6.8%","2.4%","14,395","10.9%","10.9%","0.0%","77,833","6.6%","6.4%","3.5%","5,643","2.9%","2.9%","0.0%","11,016","6.5%","6.5%","0.0%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    White alone","306,280","66.4%","54.1%","4.6%","61,246","55.7%","53.1%","4.5%","173,851","69.9%","50.7%","4.4%","20,721","66.7%","62.3%","5.7%","50,462","67.2%","63.5%","5.0%"
"    Black or African American alone","19,773","79.4%","49.7%","9.1%","N","N","N","N","17,572","82.4%","50.4%","8.7%","N","N","N","N","N","N","N","N"
"    American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","480,322","62.0%","59.8%","2.8%","38,619","58.0%","56.4%","2.7%","377,003","62.3%","59.9%","2.7%","21,813","63.3%","63.3%","0.0%","42,847","62.9%","60.0%","4.5%"
"    Native Hawaiian and Other Pacific Islander alone","108,944","62.8%","58.5%","5.7%","18,378","58.1%","54.3%","6.6%","71,223","63.6%","58.8%","6.3%","N","N","N","N","14,358","63.6%","59.9%","3.3%"
"    Some other race alone","16,522","81.4%","62.9%","8.1%","N","N","N","N","11,002","81.4%","59.9%","3.3%","N","N","N","N","N","N","N","N"
"    Two or more races","219,189","69.8%","65.0%","5.2%","38,615","63.2%","58.2%","7.4%","148,841","70.7%","65.7%","4.8%","9,083","72.9%","66.4%","8.9%","22,632","73.4%","71.3%","2.8%"
"Hispanic or Latino origin (of any race)","98,800","71.3%","58.3%","7.8%","16,286","60.0%","55.7%","7.1%","65,066","73.4%","56.8%","7.6%","N","N","N","N","N","N","N","N"
"White alone, not Hispanic or Latino","271,846","65.7%","54.3%","4.0%","54,527","55.6%","53.0%","4.4%","154,183","69.5%","51.5%","3.8%","18,546","65.4%","60.8%","6.1%","44,590","65.2%","62.7%","3.2%"
"Population 20 to 64 years","837,426","80.9%","72.9%","4.1%","112,313","72.5%","68.1%","5.9%","586,786","82.2%","72.5%","3.8%","40,399","85.0%","81.6%","3.3%","97,860","81.5%","77.7%","4.2%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","428,125","85.5%","74.0%","3.9%","55,072","75.0%","70.7%","5.4%","303,832","87.7%","73.3%","3.6%","20,056","87.3%","82.5%","4.2%","49,154","82.9%","78.7%","4.0%"
"        Female","409,301","76.1%","71.8%","4.2%","57,241","70.1%","65.5%","6.4%","282,954","76.2%","71.6%","3.9%","20,343","82.7%","80.7%","2.4%","48,706","80.2%","76.6%","4.3%"
"            With own children under 18 years","136,774","74.9%","70.1%","4.8%","18,513","72.8%","69.9%","4.0%","94,830","73.2%","68.2%","4.5%","6,653","89.5%","85.7%","4.3%","16,778","80.9%","75.2%","7.1%"
"                With own children under 6 years only","34,081","63.1%","56.1%","8.3%","4,570","54.8%","53.4%","2.6%","25,760","62.9%","55.4%","8.1%","827","77.4%","64.1%","17.2%","2,924","73.6%","63.5%","13.7%"
"                With own children under 6 years and 6 to 17 years","31,967","70.3%","66.0%","4.5%","4,294","66.5%","63.0%","5.3%","21,283","69.7%","65.5%","3.7%","2,059","89.2%","82.0%","8.0%","4,331","68.0%","64.1%","5.7%"
"                With own children under 6 to 17 years only","70,726","82.6%","78.8%","3.6%","9,649","84.2%","80.8%","4.0%","47,787","80.3%","76.3%","3.4%","3,767","92.4%","92.4%","0.0%","9,523","89.0%","83.7%","5.9%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
