"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,403,653","8.3%","0.6%","3.9%","1.0%","199,044","8.1%","1.4%","3.2%","0.4%","966,708","8.7%","0.3%","4.3%","1.2%","N","N","N","N","N","166,441","6.3%","1.6%","2.7%","0.5%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","70,599","11.0%","0.7%","5.8%","0.4%","9,840","15.4%","0.9%","2.4%","0.0%","48,141","9.9%","0.3%","7.6%","0.6%","N","N","N","N","N","8,863","14.8%","3.4%","1.5%","0.0%"
"        5 to 17 years","215,818","7.7%","0.7%","3.8%","0.8%","31,851","8.4%","2.1%","3.6%","0.0%","146,394","8.4%","0.3%","4.4%","1.1%","N","N","N","N","N","26,398","4.1%","0.5%","0.4%","0.3%"
"        18 to 24 years","121,647","11.5%","1.3%","7.8%","1.9%","14,472","9.8%","2.8%","3.5%","2.2%","90,785","12.4%","0.7%","8.4%","2.0%","N","N","N","N","N","11,697","8.6%","3.8%","6.4%","0.0%"
"        25 to 34 years","201,025","12.2%","0.8%","6.7%","1.9%","23,661","9.2%","0.5%","4.1%","1.2%","147,846","13.4%","0.3%","7.3%","2.0%","N","N","N","N","N","20,599","7.7%","4.7%","7.1%","1.4%"
"        35 to 44 years","181,541","11.2%","1.2%","4.3%","1.4%","23,671","11.7%","4.6%","3.6%","0.1%","126,401","11.1%","0.4%","4.9%","1.8%","N","N","N","N","N","22,630","8.7%","1.3%","1.7%","0.7%"
"        45 to 54 years","171,390","8.3%","0.5%","2.3%","0.8%","23,217","11.8%","0.8%","3.2%","0.0%","116,666","8.3%","0.2%","2.3%","1.1%","N","N","N","N","N","22,198","5.1%","0.6%","0.9%","0.3%"
"        55 to 64 years","180,166","5.2%","0.3%","2.1%","0.4%","29,689","3.3%","0.8%","4.2%","0.1%","116,863","5.7%","0.1%","1.5%","0.3%","N","N","N","N","N","23,564","5.3%","0.6%","3.5%","0.9%"
"        65 to 74 years","149,372","4.4%","0.0%","1.5%","0.3%","27,403","4.6%","0.0%","2.3%","0.0%","94,410","3.6%","0.0%","1.2%","0.3%","N","N","N","N","N","18,665","5.8%","0.2%","2.1%","0.2%"
"        75 years and over","112,095","2.7%","0.3%","1.0%","0.4%","15,240","3.6%","0.0%","0.4%","0.2%","79,202","2.9%","0.3%","1.0%","0.5%","N","N","N","N","N","11,827","0.5%","1.4%","2.1%","0.0%"
"        Median age (years)","39.9","33.2","29.2","28.4","31.4","42.8","35.5","36.7","38.2","30.1","38.7","32.0","28.0","27.4","31.5","42.7","38.8","37.2","25.1","28.3","41.3","36.2","26.8","33.7","36.7"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","702,040","8.4%","0.6%","4.0%","1.0%","97,504","7.7%","1.3%","3.6%","0.2%","486,614","8.9%","0.3%","4.3%","1.1%","35,877","7.3%","1.0%","2.9%","1.0%","81,991","6.7%","1.2%","3.0%","0.8%"
"        Female","701,613","8.1%","0.7%","3.7%","1.0%","101,540","8.4%","1.6%","2.8%","0.5%","480,094","8.5%","0.3%","4.2%","1.2%","35,506","7.8%","1.5%","3.0%","0.7%","84,450","5.9%","1.9%","2.4%","0.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","341,976","10.1%","0.7%","9.2%","1.0%","64,834","10.8%","0.9%","8.2%","0.5%","197,669","11.2%","0.1%","11.3%","1.2%","22,153","7.6%","2.2%","2.5%","1.3%","57,284","6.8%","2.0%","5.4%","0.4%"
"            Black or African American","28,091","11.3%","0.5%","15.9%","1.7%","N","N","N","N","N","25,270","10.9%","0.6%","17.7%","1.9%","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","530,559","6.4%","0.4%","1.0%","1.2%","45,875","4.7%","0.9%","0.6%","0.8%","410,257","6.1%","0.3%","1.0%","1.3%","N","N","N","N","N","50,170","7.4%","0.6%","1.6%","0.8%"
"            Native Hawaiian and Other Pacific Islander","143,347","9.0%","1.3%","1.3%","1.6%","N","N","N","N","N","95,168","10.2%","0.6%","1.8%","2.4%","N","N","N","N","N","N","N","N","N","N"
"            Some other race","18,016","14.9%","1.0%","12.2%","0.0%","N","N","N","N","N","8,556","17.2%","0.0%","23.0%","0.0%","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","338,427","8.5%","0.7%","2.6%","0.3%","57,207","6.2%","1.1%","0.9%","0.0%","228,016","10.1%","0.3%","2.8%","0.3%","N","N","N","N","N","35,434","4.9%","2.6%","1.3%","0.5%"
"        Hispanic or Latino origin (of any race)","148,369","10.7%","0.6%","7.4%","0.4%","25,551","13.6%","1.0%","3.2%","0.0%","95,862","11.8%","0.3%","8.6%","0.7%","N","N","N","N","N","18,981","3.2%","2.0%","3.6%","0.0%"
"        White alone, not Hispanic or Latino","305,290","10.1%","0.8%","8.5%","1.0%","60,581","9.4%","1.0%","7.8%","0.6%","173,554","11.4%","0.1%","10.4%","1.2%","20,964","7.9%","2.3%","2.6%","1.4%","50,155","7.4%","2.3%","5.6%","0.5%"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","1,137,609","8.4%","0.7%","4.2%","0.4%","173,256","8.5%","1.5%","3.2%","0.0%","772,574","8.8%","0.3%","4.8%","0.5%","N","N","N","N","N","136,090","6.9%","1.7%","2.8%","0.1%"
"        Foreign born","266,044","7.8%","0.6%","2.3%","3.4%","25,788","5.1%","0.7%","3.0%","2.6%","194,134","8.2%","0.4%","2.2%","3.7%","N","N","N","N","N","30,351","3.8%","1.2%","2.2%","2.5%"
"            Naturalized U.S. citizen","155,653","6.8%","0.1%","2.3%","0.5%","12,629","4.8%","0.2%","3.0%","0.0%","119,845","7.4%","0.1%","2.5%","0.4%","N","N","N","N","N","15,018","2.8%","0.0%","1.9%","0.0%"
"            Not a U.S. citizen","110,391","9.3%","1.4%","2.2%","7.5%","13,159","5.4%","1.1%","3.0%","5.1%","74,289","9.4%","0.8%","1.7%","9.0%","N","N","N","N","N","15,333","4.8%","2.4%","2.5%","4.9%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,164,044","8.2%","0.6%","3.8%","1.0%","164,286","7.5%","1.3%","3.2%","0.4%","803,544","8.7%","0.3%","4.0%","1.2%","59,074","7.9%","1.5%","3.2%","1.0%","137,063","6.0%","1.6%","3.1%","0.5%"
"        Never married","394,034","10.0%","1.2%","3.7%","1.1%","54,941","9.1%","2.1%","2.9%","0.9%","276,185","10.8%","0.6%","3.6%","1.3%","19,182","8.5%","3.4%","6.5%","2.1%","43,682","7.1%","3.0%","4.4%","0.0%"
"        Now married, except separated","577,546","6.9%","0.3%","4.1%","1.1%","77,107","5.8%","1.0%","3.6%","0.2%","400,411","7.3%","0.1%","4.7%","1.3%","29,552","7.4%","0.8%","2.1%","0.7%","70,467","6.0%","0.4%","2.5%","0.9%"
"        Divorced or separated","119,991","10.4%","0.7%","3.6%","0.5%","20,971","11.1%","1.2%","2.9%","0.0%","76,346","11.4%","0.2%","4.3%","0.7%","6,674","9.8%","0.3%","0.4%","0.0%","15,979","5.1%","2.3%","2.7%","0.5%"
"        Widowed","72,473","4.3%","0.4%","1.1%","0.4%","11,267","4.0%","0.2%","1.7%","0.3%","50,602","4.6%","0.2%","0.9%","0.5%","3,666","4.6%","0.0%","0.0%","0.0%","6,935","2.0%","2.7%","2.2%","0.0%"
