"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,357,806","8.5%","0.6%","4.2%","1.2%","184,814","7.2%","1.1%","2.4%","0.4%","951,339","8.4%","0.4%","4.8%","1.3%","N","N","N","N","N","154,393","11.8%","1.4%","3.3%","0.8%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","71,016","10.7%","0.3%","4.9%","0.7%","9,808","12.5%","0.0%","1.1%","0.0%","49,613","10.5%","0.4%","6.4%","0.9%","N","N","N","N","N","7,760","12.8%","0.0%","2.3%","0.0%"
"    5 to 17 years","216,337","7.7%","0.5%","3.2%","1.7%","30,176","7.5%","0.0%","0.6%","0.0%","149,670","7.8%","0.5%","3.7%","1.5%","N","N","N","N","N","25,659","8.2%","0.9%","3.7%","1.4%"
"    18 to 24 years","130,941","11.9%","1.2%","12.2%","2.6%","15,140","8.7%","1.4%","5.9%","0.9%","99,825","12.1%","1.0%","14.6%","2.7%","N","N","N","N","N","11,729","17.8%","2.6%","2.9%","0.0%"
"    25 to 34 years","192,625","13.5%","0.9%","7.9%","2.1%","23,923","9.4%","3.4%","5.8%","0.0%","138,988","12.7%","0.3%","8.9%","2.6%","N","N","N","N","N","21,242","25.7%","1.7%","4.6%","1.6%"
"    35 to 44 years","176,023","10.0%","0.7%","3.9%","1.4%","21,519","12.7%","0.2%","0.8%","0.9%","124,707","10.5%","0.4%","4.4%","1.2%","N","N","N","N","N","21,012","5.4%","3.3%","3.6%","1.5%"
"    45 to 54 years","188,751","7.5%","0.4%","1.9%","0.5%","25,629","4.9%","0.2%","2.1%","1.0%","129,346","7.6%","0.4%","1.9%","0.5%","N","N","N","N","N","23,692","11.3%","1.1%","1.4%","0.0%"
"    55 to 64 years","178,644","4.8%","0.6%","1.9%","0.2%","30,214","5.1%","3.0%","1.0%","0.4%","115,916","4.3%","0.1%","1.4%","0.2%","N","N","N","N","N","22,112","8.0%","0.4%","5.2%","0.5%"
"    65 to 74 years","106,372","4.6%","0.1%","1.2%","0.8%","16,142","2.6%","0.0%","4.1%","0.2%","72,247","3.9%","0.0%","0.7%","1.1%","N","N","N","N","N","12,361","11.6%","0.5%","0.8%","0.0%"
