"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Below poverty level!!Estimate","Hawaii County, Hawaii!!Percent below poverty level!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Below poverty level!!Estimate","Honolulu County, Hawaii!!Percent below poverty level!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Below poverty level!!Estimate","Kauai County, Hawaii!!Percent below poverty level!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Below poverty level!!Estimate","Maui County, Hawaii!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","1,402,392","156,735","11.2%","199,854","29,488","14.8%","967,615","99,005","10.2%","72,384","8,501","11.7%","162,504","19,716","12.1%"
"    AGE","","","","","","","","","","","","","","",""
"        Under 18 years","296,907","40,502","13.6%","42,016","7,909","18.8%","204,830","24,718","12.1%","15,277","2,406","15.7%","34,784","5,469","15.7%"
"            Under 5 years","78,103","9,518","12.2%","10,365","1,485","14.3%","56,410","6,287","11.1%","2,386","478","20.0%","8,942","1,268","14.2%"
"            5 to 17 years","218,804","30,984","14.2%","31,651","6,424","20.3%","148,420","18,431","12.4%","12,891","1,928","15.0%","25,842","4,201","16.3%"
"            Related children of householder under 18 years","295,283","38,878","13.2%","41,764","7,657","18.3%","203,689","23,577","11.6%","15,237","2,366","15.5%","34,593","5,278","15.3%"
"        18 to 64 years","826,758","90,154","10.9%","111,795","16,831","15.1%","577,737","56,702","9.8%","41,694","4,821","11.6%","95,517","11,785","12.3%"
"            18 to 34 years","289,565","34,936","12.1%","36,203","5,154","14.2%","209,929","23,651","11.3%","14,372","1,994","13.9%","29,046","4,122","14.2%"
"            35 to 64 years","537,193","55,218","10.3%","75,592","11,677","15.4%","367,808","33,051","9.0%","27,322","2,827","10.3%","66,471","7,663","11.5%"
"        60 years and over","371,070","35,107","9.5%","59,700","6,975","11.7%","245,782","22,498","9.2%","21,104","1,855","8.8%","44,464","3,769","8.5%"
"        65 years and over","278,727","26,079","9.4%","46,043","4,748","10.3%","185,048","17,585","9.5%","15,413","1,274","8.3%","32,203","2,462","7.6%"
"    SEX","","","","","","","","","","","","","","",""
"        Male","698,554","75,384","10.8%","99,074","13,529","13.7%","482,542","48,676","10.1%","36,517","3,015","8.3%","80,406","10,149","12.6%"
"        Female","703,838","81,351","11.6%","100,780","15,959","15.8%","485,073","50,329","10.4%","35,867","5,486","15.3%","82,098","9,567","11.7%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","",""
"        White alone","305,835","36,505","11.9%","60,644","8,997","14.8%","173,179","19,215","11.1%","21,611","3,258","15.1%","50,376","5,010","9.9%"
"        Black or African American alone","26,011","3,723","14.3%","N","N","N","22,327","2,452","11.0%","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
