"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","458,078","±4,221","458,078","±4,221","268,078","±4,714","268,078","±4,714","190,000","±4,482","190,000","±4,482","68,857","±2,122","68,857","±2,122","46,301","±2,274","46,301","±2,274","22,556","±1,782","22,556","±1,782","312,625","±3,402","312,625","±3,402","176,287","±3,707","176,287","±3,707","136,338","±3,780","136,338","±3,780","22,980","±1,082","22,980","±1,082","14,184","±1,032","14,184","±1,032","8,796","±1,085","8,796","±1,085","53,560","±1,854","53,560","±1,854","31,306","±1,772","31,306","±1,772","22,254","±2,076","22,254","±2,076"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","14,551","±1,869","3.2%","±0.4","6,228","±1,203","2.3%","±0.4","8,323","±1,494","4.4%","±0.8","3,600","±918","5.2%","±1.3","1,999","±771","4.3%","±1.6","1,601","±602","7.1%","±2.6","8,703","±1,207","2.8%","±0.4","3,365","±740","1.9%","±0.4","5,338","±992","3.9%","±0.7","683","±337","3.0%","±1.5","333","±191","2.3%","±1.4","350","±258","4.0%","±3.0","1,565","±709","2.9%","±1.3","531","±256","1.7%","±0.8","1,034","±555","4.6%","±2.5"
"    $5,000 to $9,999","13,866","±1,969","3.0%","±0.4","3,582","±872","1.3%","±0.3","10,284","±1,657","5.4%","±0.8","3,050","±1,011","4.4%","±1.5","1,208","±555","2.6%","±1.2","1,842","±845","8.2%","±3.5","8,627","±1,513","2.8%","±0.5","1,741","±562","1.0%","±0.3","6,886","±1,236","5.1%","±0.9","264","±198","1.1%","±0.9","192","±172","1.4%","±1.2","72","±96","0.8%","±1.1","1,914","±891","3.6%","±1.6","441","±297","1.4%","±1.0","1,473","±814","6.6%","±3.5"
"    $10,000 to $14,999","13,429","±1,630","2.9%","±0.4","5,731","±1,124","2.1%","±0.4","7,698","±1,219","4.1%","±0.6","3,449","±840","5.0%","±1.2","2,469","±804","5.3%","±1.7","980","±413","4.3%","±1.8","7,459","±1,164","2.4%","±0.4","2,253","±489","1.3%","±0.3","5,206","±967","3.8%","±0.7","1,157","±541","5.0%","±2.3","512","±380","3.6%","±2.6","645","±340","7.3%","±3.8","1,364","±468","2.5%","±0.9","497","±255","1.6%","±0.8","867","±420","3.9%","±1.8"
"    $15,000 to $19,999","13,464","±1,662","2.9%","±0.4","5,206","±940","1.9%","±0.3","8,258","±1,482","4.3%","±0.8","2,443","±775","3.5%","±1.1","973","±347","2.1%","±0.7","1,470","±720","6.5%","±3.0","8,383","±1,245","2.7%","±0.4","3,236","±782","1.8%","±0.4","5,147","±1,092","3.8%","±0.8","969","±403","4.2%","±1.7","533","±282","3.8%","±2.0","436","±277","5.0%","±3.1","1,669","±744","3.1%","±1.4","464","±301","1.5%","±1.0","1,205","±656","5.4%","±3.0"
"    $20,000 to $24,999","14,330","±1,785","3.1%","±0.4","6,220","±1,102","2.3%","±0.4","8,110","±1,592","4.3%","±0.8","3,476","±943","5.0%","±1.4","2,230","±721","4.8%","±1.5","1,246","±569","5.5%","±2.5","8,737","±1,349","2.8%","±0.4","3,271","±890","1.9%","±0.5","5,466","±1,145","4.0%","±0.8","769","±396","3.3%","±1.7","408","±289","2.9%","±2.0","361","±295","4.1%","±3.3","1,333","±582","2.5%","±1.1","311","±213","1.0%","±0.7","1,022","±536","4.6%","±2.4"
"    $25,000 to $34,999","28,836","±2,381","6.3%","±0.5","11,995","±1,585","4.5%","±0.6","16,841","±1,990","8.9%","±1.0","4,895","±1,039","7.1%","±1.5","2,865","±811","6.2%","±1.8","2,030","±642","9.0%","±2.8","19,234","±2,105","6.2%","±0.7","7,019","±1,171","4.0%","±0.7","12,215","±1,830","9.0%","±1.3","1,712","±520","7.4%","±2.2","697","±310","4.9%","±2.2","1,015","±444","11.5%","±5.0","2,995","±781","5.6%","±1.5","1,414","±520","4.5%","±1.7","1,581","±564","7.1%","±2.5"
"    $35,000 to $49,999","48,712","±3,595","10.6%","±0.8","23,821","±2,612","8.9%","±1.0","24,891","±2,645","13.1%","±1.4","8,970","±1,488","13.0%","±2.1","5,422","±1,219","11.7%","±2.5","3,548","±1,001","15.7%","±4.4","32,355","±2,811","10.3%","±0.9","14,884","±1,922","8.4%","±1.1","17,471","±2,171","12.8%","±1.5","1,815","±509","7.9%","±2.3","1,105","±391","7.8%","±2.7","710","±289","8.1%","±3.4","5,554","±1,202","10.4%","±2.2","2,410","±589","7.7%","±1.9","3,144","±958","14.1%","±4.1"
"    $50,000 to $74,999","73,602","±3,793","16.1%","±0.8","38,523","±2,452","14.4%","±0.9","35,079","±3,335","18.5%","±1.7","12,037","±1,713","17.5%","±2.4","7,932","±1,316","17.1%","±2.7","4,105","±1,123","18.2%","±4.8","49,783","±3,102","15.9%","±1.0","24,572","±2,030","13.9%","±1.1","25,211","±2,757","18.5%","±2.0","2,915","±809","12.7%","±3.4","1,310","±471","9.2%","±3.3","1,605","±629","18.2%","±6.7","8,855","±1,486","16.5%","±2.7","4,709","±992","15.0%","±3.1","4,146","±1,199","18.6%","±4.9"
