"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate"
"Occupied housing units","450,120","252,999","197,121","64,929","42,876","22,053","308,800","164,417","144,383","22,386","13,802","8,584","53,946","31,904","22,042"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","",""
"    Less than $5,000","3.2%","1.9%","4.9%","6.3%","3.3%","12.3%","2.5%","1.2%","4.0%","2.3%","3.2%","0.7%","3.8%","3.0%","4.9%"
"    $5,000 to $9,999","2.5%","1.1%","4.4%","5.5%","3.2%","10.0%","2.1%","0.8%","3.6%","3.0%","0.7%","6.8%","1.3%","0.1%","3.0%"
"    $10,000 to $14,999","3.4%","2.1%","5.1%","4.9%","3.5%","7.8%","3.0%","1.4%","4.8%","4.8%","4.7%","4.9%","3.6%","3.1%","4.3%"
"    $15,000 to $19,999","3.5%","2.6%","4.5%","6.7%","5.2%","9.5%","2.8%","1.8%","3.9%","2.5%","1.6%","3.8%","3.7%","3.8%","3.7%"
"    $20,000 to $24,999","4.6%","3.1%","6.5%","7.0%","6.4%","8.4%","3.9%","2.1%","6.1%","6.2%","5.5%","7.2%","4.7%","2.9%","7.4%"
"    $25,000 to $34,999","7.7%","6.1%","9.8%","9.2%","10.0%","7.5%","6.5%","4.3%","9.0%","9.5%","7.5%","12.8%","12.1%","9.2%","16.3%"
"    $35,000 to $49,999","11.1%","9.1%","13.7%","10.9%","10.0%","12.7%","11.0%","8.1%","14.3%","14.5%","15.2%","13.4%","10.9%","10.7%","11.3%"
"    $50,000 to $74,999","18.9%","16.9%","21.5%","19.5%","21.9%","14.7%","19.3%","16.2%","22.9%","18.8%","19.8%","17.1%","15.9%","12.4%","20.9%"
"    $75,000 to $99,999","13.3%","14.5%","11.9%","11.7%","13.6%","7.8%","13.7%","14.7%","12.5%","11.0%","12.7%","8.2%","14.4%","15.2%","13.2%"
"    $100,000 to $149,999","18.0%","22.7%","12.0%","12.2%","14.6%","7.4%","19.5%","25.8%","12.5%","17.8%","15.7%","21.2%","16.6%","21.0%","10.2%"
"    $150,000 or more","13.7%","19.9%","5.7%","6.2%","8.3%","2.0%","15.6%","23.7%","6.5%","9.7%","13.3%","3.9%","13.1%","18.7%","5.0%"
"    Median household income (dollars)","68,020","86,525","50,933","48,399","56,977","27,281","73,388","98,669","53,800","60,155","65,779","50,654","65,558","82,455","48,854"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","",""
"    Less than $100","0.4%","0.7%","0.1%","1.3%","1.9%","0.0%","0.3%","0.4%","0.2%","0.9%","1.4%","N","0.2%","0.4%","0.0%"
"    $100 to $199","1.5%","1.7%","1.3%","5.1%","6.1%","3.1%","0.9%","0.6%","1.2%","1.3%","0.7%","N","1.3%","2.1%","0.2%"
"    $200 to $299","3.1%","4.0%","1.9%","6.4%","8.0%","3.4%","2.1%","2.3%","1.7%","5.9%","8.2%","N","3.9%","5.6%","1.4%"
"    $300 to $399","3.9%","5.5%","1.8%","6.1%","8.0%","2.4%","3.3%","4.6%","1.8%","4.3%","6.7%","N","4.3%","6.3%","1.3%"
"    $400 to $499","3.9%","5.6%","1.6%","5.5%","6.5%","3.7%","3.3%","5.2%","1.2%","5.2%","6.7%","N","4.4%","6.2%","1.9%"
"    $500 to $599","3.5%","5.0%","1.5%","3.4%","3.9%","2.4%","3.5%","5.4%","1.3%","4.0%","4.6%","N","3.2%","4.0%","1.9%"
"    $600 to $699","3.8%","4.5%","3.0%","4.6%","4.9%","4.0%","3.6%","4.6%","2.4%","4.9%","5.1%","N","3.7%","2.8%","5.1%"
"    $700 to $799","3.4%","3.8%","2.9%","4.0%","3.3%","5.4%","3.1%","4.0%","2.2%","3.6%","3.3%","N","4.2%","4.1%","4.4%"
"    $800 to $899","3.1%","2.5%","3.8%","4.4%","3.2%","6.8%","2.8%","2.4%","3.3%","2.6%","1.7%","N","3.0%","2.7%","3.6%"
"    $900 to $999","3.8%","2.0%","6.0%","4.8%","2.6%","9.1%","3.8%","1.9%","5.9%","2.0%","2.3%","N","3.5%","1.8%","5.9%"
"    $1,000 to $1,499","18.0%","11.1%","26.8%","19.7%","15.4%","28.0%","16.6%","9.0%","25.3%","22.3%","15.2%","N","22.0%","14.4%","33.0%"
"    $1,500 to $1,999","15.5%","13.8%","17.7%","13.7%","15.0%","11.2%","15.9%","14.0%","18.0%","15.0%","13.0%","N","15.8%","11.7%","21.7%"
"    $2,000 or more","33.1%","39.7%","24.6%","15.1%","21.2%","3.1%","38.8%","45.6%","30.9%","23.7%","31.0%","N","26.4%","38.0%","9.7%"
"    No cash rent","3.0%","(X)","6.9%","5.8%","(X)","17.2%","2.2%","(X)","4.7%","4.3%","(X)","N","4.0%","(X)","9.9%"
"    Median (dollars)","1,505","1,630","1,414","1,033","1,048","1,017","1,675","1,859","1,535","1,323","1,362","1,281","1,345","1,482","1,292"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","",""
"    Less than $20,000","10.5%","7.0%","15.1%","18.7%","13.5%","28.7%","8.8%","4.6%","13.6%","10.2%","9.1%","12.0%","10.6%","9.5%","12.3%"
"        Less than 20 percent","0.7%","0.9%","0.4%","2.4%","3.5%","0.2%","0.4%","0.3%","0.4%","0.4%","0.7%","0.0%","0.6%","0.8%","0.2%"
"        20 to 29 percent","1.0%","0.6%","1.7%","1.8%","1.6%","2.1%","0.9%","0.3%","1.6%","1.6%","0.1%","4.0%","0.6%","0.5%","0.9%"
"        30 percent or more","8.8%","5.5%","13.0%","14.6%","8.5%","26.4%","7.5%","4.0%","11.6%","8.2%","8.3%","8.0%","9.4%","8.2%","11.2%"
"    $20,000 to $34,999","11.8%","9.2%","15.2%","15.7%","16.4%","14.3%","10.1%","6.4%","14.3%","15.1%","13.0%","18.3%","15.6%","12.1%","20.7%"
"        Less than 20 percent","2.2%","3.1%","0.9%","5.1%","7.0%","1.4%","1.3%","1.8%","0.8%","3.2%","5.0%","0.3%","3.2%","4.3%","1.7%"
"        20 to 29 percent","1.4%","1.3%","1.5%","1.3%","1.3%","1.2%","1.1%","1.2%","1.0%","4.5%","2.1%","8.3%","2.1%","1.6%","2.7%"
"        30 percent or more","8.2%","4.7%","12.8%","9.3%","8.1%","11.7%","7.7%","3.4%","12.6%","7.3%","5.8%","9.7%","10.3%","6.2%","16.3%"
"    $35,000 to $49,999","10.7%","9.1%","12.8%","10.0%","10.0%","10.0%","10.6%","8.1%","13.6%","14.5%","15.2%","13.3%","10.6%","10.7%","10.6%"
"        Less than 20 percent","2.4%","3.9%","0.5%","3.9%","5.6%","0.6%","2.0%","3.4%","0.5%","3.2%","5.0%","0.4%","2.7%","4.0%","0.7%"
"        20 to 29 percent","1.8%","1.1%","2.7%","1.6%","0.9%","3.0%","1.9%","1.0%","2.8%","1.2%","1.5%","0.8%","1.7%","1.6%","2.0%"
"        30 percent or more","6.5%","4.1%","9.6%","4.5%","3.6%","6.4%","6.7%","3.6%","10.2%","10.0%","8.7%","12.2%","6.2%","5.0%","7.9%"
"    $50,000 to $74,999","18.3%","16.9%","20.1%","18.8%","21.9%","12.8%","18.9%","16.2%","21.9%","18.5%","19.8%","16.3%","14.2%","12.4%","16.9%"
"        Less than 20 percent","5.0%","6.5%","3.1%","7.8%","9.6%","4.4%","4.5%","6.2%","2.7%","3.8%","5.5%","1.0%","4.8%","4.2%","5.7%"
"        20 to 29 percent","4.5%","2.5%","7.2%","3.7%","3.0%","5.3%","4.6%","2.3%","7.4%","6.2%","4.0%","9.7%","4.3%","2.2%","7.3%"
"        30 percent or more","8.7%","7.9%","9.8%","7.3%","9.4%","3.2%","9.7%","7.7%","11.9%","8.5%","10.2%","5.6%","5.1%","6.0%","3.9%"
"    $75,000 or more","44.4%","57.1%","28.1%","29.4%","36.6%","15.4%","48.2%","64.2%","30.1%","36.8%","41.7%","28.8%","43.8%","54.9%","27.6%"
"        Less than 20 percent","22.6%","29.7%","13.5%","17.6%","21.6%","9.8%","23.3%","32.3%","13.2%","24.0%","26.3%","20.4%","24.0%","29.0%","16.8%"
"        20 to 29 percent","13.2%","16.4%","9.0%","8.2%","10.2%","4.5%","14.8%","19.0%","9.9%","7.2%","8.3%","5.5%","12.2%","14.5%","9.0%"
"        30 percent or more","8.6%","11.0%","5.6%","3.5%","4.8%","1.1%","10.1%","12.9%","7.0%","5.5%","7.2%","2.8%","7.5%","11.4%","1.9%"
"    Zero or negative income","1.2%","0.7%","1.7%","1.6%","1.6%","1.5%","1.1%","0.6%","1.8%","0.7%","1.1%","0.0%","1.1%","0.4%","2.0%"
"    No cash rent","3.0%","(X)","6.9%","5.8%","(X)","17.2%","2.2%","(X)","4.7%","4.3%","(X)","11.2%","4.0%","(X)","9.9%"
