"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","447,748","±4,282","254,770","±4,107","192,978","±4,122","64,925","±2,319","42,939","±2,066","21,986","±2,186","308,072","±2,917","167,503","±3,078","140,569","±2,749","22,569","±1,084","14,580","±1,141","7,989","±1,022","52,120","±1,977","29,748","±2,087","22,372","±1,931"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","2.9%","±0.4","1.8%","±0.4","4.4%","±0.8","4.7%","±1.4","3.8%","±1.6","6.5%","±2.7","2.8%","±0.5","1.6%","±0.4","4.3%","±1.0","2.9%","±1.5","1.4%","±1.4","5.8%","±3.5","1.4%","±0.7","0.7%","±0.5","2.5%","±1.5"
"    $5,000 to $9,999","3.2%","±0.5","2.0%","±0.5","4.9%","±0.8","5.8%","±1.8","4.5%","±2.2","8.3%","±3.3","2.7%","±0.5","1.5%","±0.4","4.2%","±0.8","2.5%","±1.1","2.1%","±1.3","3.4%","±2.5","3.3%","±1.3","1.3%","±0.9","6.0%","±2.6"
"    $10,000 to $14,999","3.7%","±0.4","2.3%","±0.4","5.7%","±0.8","5.2%","±1.2","3.6%","±1.2","8.3%","±2.6","3.4%","±0.5","1.7%","±0.4","5.3%","±0.9","1.6%","±1.0","1.4%","±1.3","1.8%","±1.4","5.0%","±1.6","3.6%","±1.5","6.7%","±3.1"
"    $15,000 to $19,999","4.0%","±0.5","2.6%","±0.5","5.8%","±0.9","8.2%","±1.9","6.1%","±2.2","12.4%","±3.3","2.9%","±0.5","1.7%","±0.5","4.3%","±0.9","6.5%","±2.6","5.7%","±3.4","8.1%","±4.4","4.2%","±1.6","1.3%","±0.8","8.1%","±3.3"
"    $20,000 to $24,999","3.9%","±0.4","2.7%","±0.5","5.5%","±0.9","4.4%","±1.5","2.9%","±1.4","7.4%","±3.7","3.7%","±0.5","2.4%","±0.5","5.2%","±1.0","3.6%","±1.4","3.5%","±1.9","4.0%","±2.9","4.5%","±1.4","3.7%","±1.6","5.6%","±2.3"
"    $25,000 to $34,999","7.3%","±0.6","5.2%","±0.7","10.1%","±1.1","9.7%","±1.6","8.8%","±2.0","11.7%","±3.9","6.9%","±0.7","4.6%","±0.7","9.6%","±1.2","7.6%","±2.6","3.4%","±1.7","15.3%","±7.1","6.7%","±1.8","3.9%","±1.3","10.5%","±3.7"
"    $35,000 to $49,999","12.3%","±0.7","10.1%","±0.9","15.4%","±1.2","11.6%","±2.0","11.5%","±2.4","11.9%","±3.3","11.9%","±0.8","8.6%","±0.9","15.9%","±1.5","14.9%","±3.1","14.8%","±3.7","15.0%","±5.7","14.9%","±2.8","14.1%","±3.6","15.9%","±4.0"
"    $50,000 to $74,999","18.5%","±0.8","17.7%","±1.0","19.6%","±1.2","17.2%","±2.0","19.4%","±2.4","12.8%","±3.6","18.2%","±1.1","16.3%","±1.3","20.5%","±1.6","21.6%","±4.3","22.2%","±4.5","20.4%","±6.6","20.7%","±2.5","20.9%","±3.5","20.6%","±3.9"
