"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","458,078","458,078","268,078","268,078","190,000","190,000","68,857","68,857","46,301","46,301","22,556","22,556","312,625","312,625","176,287","176,287","136,338","136,338","22,980","22,980","14,184","14,184","8,796","8,796","53,560","53,560","31,306","31,306","22,254","22,254"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","14,551","3.2%","6,228","2.3%","8,323","4.4%","3,600","5.2%","1,999","4.3%","1,601","7.1%","8,703","2.8%","3,365","1.9%","5,338","3.9%","683","3.0%","333","2.3%","350","4.0%","1,565","2.9%","531","1.7%","1,034","4.6%"
"    $5,000 to $9,999","13,866","3.0%","3,582","1.3%","10,284","5.4%","3,050","4.4%","1,208","2.6%","1,842","8.2%","8,627","2.8%","1,741","1.0%","6,886","5.1%","264","1.1%","192","1.4%","72","0.8%","1,914","3.6%","441","1.4%","1,473","6.6%"
"    $10,000 to $14,999","13,429","2.9%","5,731","2.1%","7,698","4.1%","3,449","5.0%","2,469","5.3%","980","4.3%","7,459","2.4%","2,253","1.3%","5,206","3.8%","1,157","5.0%","512","3.6%","645","7.3%","1,364","2.5%","497","1.6%","867","3.9%"
"    $15,000 to $19,999","13,464","2.9%","5,206","1.9%","8,258","4.3%","2,443","3.5%","973","2.1%","1,470","6.5%","8,383","2.7%","3,236","1.8%","5,147","3.8%","969","4.2%","533","3.8%","436","5.0%","1,669","3.1%","464","1.5%","1,205","5.4%"
"    $20,000 to $24,999","14,330","3.1%","6,220","2.3%","8,110","4.3%","3,476","5.0%","2,230","4.8%","1,246","5.5%","8,737","2.8%","3,271","1.9%","5,466","4.0%","769","3.3%","408","2.9%","361","4.1%","1,333","2.5%","311","1.0%","1,022","4.6%"
"    $25,000 to $34,999","28,836","6.3%","11,995","4.5%","16,841","8.9%","4,895","7.1%","2,865","6.2%","2,030","9.0%","19,234","6.2%","7,019","4.0%","12,215","9.0%","1,712","7.4%","697","4.9%","1,015","11.5%","2,995","5.6%","1,414","4.5%","1,581","7.1%"
"    $35,000 to $49,999","48,712","10.6%","23,821","8.9%","24,891","13.1%","8,970","13.0%","5,422","11.7%","3,548","15.7%","32,355","10.3%","14,884","8.4%","17,471","12.8%","1,815","7.9%","1,105","7.8%","710","8.1%","5,554","10.4%","2,410","7.7%","3,144","14.1%"
"    $50,000 to $74,999","73,602","16.1%","38,523","14.4%","35,079","18.5%","12,037","17.5%","7,932","17.1%","4,105","18.2%","49,783","15.9%","24,572","13.9%","25,211","18.5%","2,915","12.7%","1,310","9.2%","1,605","18.2%","8,855","16.5%","4,709","15.0%","4,146","18.6%"
