TABLE 1:  Summary of Visitor Statistics: 2010 vs. 2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CATEGORY AND MMA,2010,2009,(%) Change,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 11,166.3 "," 9,993.2 ",11.7   ,,,,,,,,,,,,
Visitor arrivals by air," 11,143.9 "," 9,968.0 ",11.8   ,,,,,,,,,,,,
     U.S. West," 3,960.9 "," 3,468.2 ",14.2   ,,,,,,,,,,,,
     U.S. East," 2,914.9 "," 2,694.6 ",8.2   ,,,,,,,,,,,,
     Japan," 1,900.0 "," 1,826.3 ",4.0   ,,,,,,,,,,,,
     Canada, 748.0 , 628.8 ,19.0   ,,,,,,,,,,,,
  Europe, 232.2 , 197.2 ,17.7   ,,,,,,,,,,,,
  Oceania, 329.3 , 256.2 ,28.6   ,,,,,,,,,,,,
  Other Asia, 278.7 , 178.7 ,56.0   ,,,,,,,,,,,,
  Latin America, 50.6 , 38.3 ,32.2   ,,,,,,,,,,,,
  Other, 552.0 , 506.1 ,9.1   ,,,,,,,,,,,,
     Supplemental business (all MMAs), 177.3 , 173.7 ,2.1   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 22.4 , 25.2 ,-11.3   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL VISITOR DAYS," 66,111,770 "," 60,836,666 ",8.7   ,,,,,,,,,,,,
Visitor arrivals by air," 65,598,078 "," 60,255,061 ",8.9   ,,,,,,,,,,,,
     U.S. West," 28,306,801 "," 26,027,984 ",8.8   ,,,,,,,,,,,,
     U.S. East," 17,039,909 "," 16,271,465 ",4.7   ,,,,,,,,,,,,
     Japan," 7,277,498 "," 6,806,138 ",6.9   ,,,,,,,,,,,,
     Canada," 5,159,937 "," 4,396,325 ",17.4   ,,,,,,,,,,,,
     Europe," 1,460,467 "," 1,366,674 ",6.9   ,,,,,,,,,,,,
     Oceania," 1,591,664 "," 1,262,591 ",26.1   ,,,,,,,,,,,,
     Other Asia," 1,233,245 "," 858,881 ",43.6   ,,,,,,,,,,,,
     Latin America," 238,042 "," 206,907 ",15.0   ,,,,,,,,,,,,
     Other," 3,290,515 "," 3,058,095 ",7.6   ,,,,,,,,,,,,
Visitor arrivals by cruise ships," 513,692 "," 581,605 ",-11.7   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS," 7,083,663 "," 6,517,054 ",8.7   ,,,,,,,,,,,,
Visitor arrivals by air," 6,982,425 "," 6,420,448 ",8.8   ,,,,,,,,,,,,
     U.S. West," 2,960,783 "," 2,718,818 ",8.9   ,,,,,,,,,,,,
     U.S. East," 1,631,867 "," 1,561,468 ",4.5   ,,,,,,,,,,,,
     Japan," 1,239,481 "," 1,168,080 ",6.1   ,,,,,,,,,,,,
     Canada," 406,452 "," 346,583 ",17.3   ,,,,,,,,,,,,
     Europe," 114,568 "," 104,403 ",9.7   ,,,,,,,,,,,,
     Oceania," 161,793 "," 136,717 ",18.3   ,,,,,,,,,,,,
     Other Asia," 168,486 "," 110,380 ",52.6   ,,,,,,,,,,,,
     Latin America ," 20,008 "," 17,502 ",14.3   ,,,,,,,,,,,,
     Other," 278,987 "," 256,498 ",8.8   ,,,,,,,,,,,,
Visitor arrivals by cruise ships," 101,239 "," 96,606 ",4.8   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AVERAGE LENGTH OF STAY (days), 9.33 , 9.33 ,0.0   ,,,,,,,,,,,,
Visitor arrivals by air, 9.39 , 9.38 ,0.1   ,,,,,,,,,,,,
     U.S. West, 9.56 , 9.57 ,-0.1   ,,,,,,,,,,,,
     U.S. East, 10.44 , 10.42 ,0.2   ,,,,,,,,,,,,
     Japan, 5.87 , 5.83 ,0.8   ,,,,,,,,,,,,
     Canada, 12.70 , 12.68 ,0.1   ,,,,,,,,,,,,
     Europe, 12.75 , 13.09 ,-2.6   ,,,,,,,,,,,,
     Oceania, 9.84 , 9.24 ,6.5   ,,,,,,,,,,,,
     Other Asia, 7.32 , 7.78 ,-5.9   ,,,,,,,,,,,,
     Latin America, 11.90 , 11.82 ,0.6   ,,,,,,,,,,,,
     Other, 11.79 , 11.92 ,-1.1   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 5.07 , 6.02 ,-15.7   ,,,,,,,,,,,,
TABLE 1:  Summary of Visitor Statistics: 2010 vs. 2009 (continued),,,,,,,,,,,,,,,
CATEGORY AND MMA,2010,2009,(%) Change,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PER PERSON PER DAY SPENDING ($), 168.9 , 164.3 ,2.8   ,,,,,,,,,,,,
Visitor arrivals by air, 169.9 , 165.4 ,2.7   ,,,,,,,,,,,,
     U.S. West, 139.9 , 133.3 ,5.0   ,,,,,,,,,,,,
     U.S. East, 171.1 , 165.6 ,3.3   ,,,,,,,,,,,,
     Japan, 261.1 , 268.3 ,-2.7   ,,,,,,,,,,,,
