"TABLE 1:  Summary of Visitor Statistics
2011 vs. 2010R
",,,,,,,,,,,,,,,
CATEGORY AND MMA,2011,2010R,(%) Change,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 12,254.6 "," 11,066.4 ",10.7   ,,,,,,,,,,,,
Visitor arrivals by air," 12,231.7 "," 11,044.0 ",10.8   ,,,,,,,,,,,,
     U.S. West," 4,142.8 "," 3,913.3 ",5.9   ,,,,,,,,,,,,
     U.S. East," 3,108.2 "," 2,876.4 ",8.1   ,,,,,,,,,,,,
     Japan," 2,164.0 "," 1,899.6 ",13.9   ,,,,,,,,,,,,
     Canada, 906.0 , 745.7 ,21.5   ,,,,,,,,,,,,
  Europe, 244.0 , 228.5 ,6.8   ,,,,,,,,,,,,
  Oceania, 499.3 , 328.2 ,52.1   ,,,,,,,,,,,,
  Other Asia, 373.8 , 277.6 ,34.7   ,,,,,,,,,,,,
  Latin America, 54.0 , 50.1 ,7.8   ,,,,,,,,,,,,
  Other, 555.5 , 547.2 ,1.5   ,,,,,,,,,,,,
     Supplemental business (all MMAs), 184.3 , 177.3 ,3.9   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 22.9 , 22.4 ,2.2   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL VISITOR DAYS," 68,466,519 "," 65,465,125 ",4.6   ,,,,,,,,,,,,
Visitor arrivals by air," 67,825,871 "," 64,951,433 ",4.4   ,,,,,,,,,,,,
     U.S. West," 28,768,587 "," 27,966,613 ",2.9   ,,,,,,,,,,,,
     U.S. East," 17,178,727 "," 16,815,125 ",2.2   ,,,,,,,,,,,,
     Japan," 7,484,700 "," 7,276,211 ",2.9   ,,,,,,,,,,,,
     Canada," 6,040,316 "," 5,143,821 ",17.4   ,,,,,,,,,,,,
     Europe," 1,525,705 "," 1,437,409 ",6.1   ,,,,,,,,,,,,
     Oceania," 2,092,356 "," 1,586,379 ",31.9   ,,,,,,,,,,,,
     Other Asia," 1,443,836 "," 1,228,354 ",17.5   ,,,,,,,,,,,,
     Latin America," 255,203 "," 235,628 ",8.3   ,,,,,,,,,,,,
     Other," 3,036,440 "," 3,261,892 ",-6.9   ,,,,,,,,,,,,
Visitor arrivals by cruise ships," 640,648 "," 513,692 ",24.7   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS," 7,299,047 "," 7,018,133 ",4.0   ,,,,,,,,,,,,
Visitor arrivals by air," 7,174,397 "," 6,916,894 ",3.7   ,,,,,,,,,,,,
     U.S. West," 2,994,731 "," 2,924,430 ",2.4   ,,,,,,,,,,,,
     U.S. East," 1,642,279 "," 1,610,421 ",2.0   ,,,,,,,,,,,,
     Japan," 1,241,805 "," 1,239,307 ",0.2   ,,,,,,,,,,,,
     Canada," 477,564 "," 405,040 ",17.9   ,,,,,,,,,,,,
     Europe," 119,825 "," 112,765 ",6.3   ,,,,,,,,,,,,
     Oceania," 209,976 "," 161,060 ",30.4   ,,,,,,,,,,,,
     Other Asia," 211,028 "," 167,669 ",25.9   ,,,,,,,,,,,,
     Latin America ," 22,116 "," 19,791 ",11.7   ,,,,,,,,,,,,
     Other," 255,073 "," 276,411 ",-7.7   ,,,,,,,,,,,,
Visitor arrivals by cruise ships," 124,650 "," 101,239 ",23.1   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AVERAGE LENGTH OF STAY (days), 9.38 , 9.33 ,0.6   ,,,,,,,,,,,,
Visitor arrivals by air, 9.45 , 9.39 ,0.7   ,,,,,,,,,,,,
     U.S. West, 9.61 , 9.56 ,0.5   ,,,,,,,,,,,,
     U.S. East, 10.46 , 10.44 ,0.2   ,,,,,,,,,,,,
     Japan, 6.03 , 5.87 ,2.7   ,,,,,,,,,,,,
     Canada, 12.65 , 12.70 ,-0.4   ,,,,,,,,,,,,
     Europe, 12.73 , 12.75 ,-0.1   ,,,,,,,,,,,,
     Oceania, 9.96 , 9.85 ,1.2   ,,,,,,,,,,,,
     Other Asia, 6.84 , 7.33 ,-6.6   ,,,,,,,,,,,,
     Latin America, 11.54 , 11.91 ,-3.1   ,,,,,,,,,,,,
     Other, 11.90 , 11.80 ,0.9   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 5.14 , 5.07 ,1.3   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 1:  Summary of Visitor Statistics (Continued)
2011 vs. 2010R
",,,,,,,,,,,,,,,
CATEGORY AND MMA,2011,2010R,(%) Change,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PER PERSON PER DAY SPENDING ($), 179.0 , 168.9 ,6.0   ,,,,,,,,,,,,
Visitor arrivals by air, 180.3 , 169.9 ,6.2   ,,,,,,,,,,,,
     U.S. West, 144.0 , 139.9 ,2.9   ,,,,,,,,,,,,
     U.S. East, 180.9 , 171.1 ,5.8   ,,,,,,,,,,,,
     Japan, 289.1 , 261.1 ,10.7   ,,,,,,,,,,,,
     Canada, 150.0 , 145.0 ,3.5   ,,,,,,,,,,,,
     Europe, 160.0 , 159.0 ,0.6   ,,,,,,,,,,,,
     Oceania, 238.6 , 206.9 ,15.3   ,,,,,,,,,,,,
     Other Asia, 258.9 , 226.0 ,14.6   ,,,,,,,,,,,,
     Latin America, 211.4 , 212.4 ,-0.5   ,,,,,,,,,,,,
     Other, 182.9 , 167.8 ,9.0   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 35.7 , 43.5 ,-18.1   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,678.9 "," 1,575.5 ",6.6   ,,,,,,,,,,,,
Visitor arrivals by air," 1,704.9 "," 1,595.2 ",6.9   ,,,,,,,,,,,,
     U.S. West," 1,383.4 "," 1,338.2 ",3.4   ,,,,,,,,,,,,
     U.S. East," 1,892.6 "," 1,786.1 ",6.0   ,,,,,,,,,,,,
     Japan," 1,742.6 "," 1,532.8 ",13.7   ,,,,,,,,,,,,
     Canada," 1,897.0 "," 1,841.1 ",3.0   ,,,,,,,,,,,,
     Europe," 2,036.7 "," 2,026.2 ",0.5   ,,,,,,,,,,,,
     Oceania," 2,378.1 "," 2,037.9 ",16.7   ,,,,,,,,,,,,
     Other Asia," 1,771.2 "," 1,655.5 ",7.0   ,,,,,,,,,,,,
     Latin America," 2,439.8 "," 2,529.3 ",-3.5   ,,,,,,,,,,,,
     Other," 2,177.6 "," 1,979.8 ",10.0   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 183.4 , 220.9 ,-17.0   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 12,254.6 "," 11,066.4 ",10.7   ,,,,,,,,,,,,
     O'ahu," 6,351.4 "," 5,593.1 ",13.6   ,,,,,,,,,,,,
     Maui," 3,100.4 "," 2,949.2 ",5.1   ,,,,,,,,,,,,
     Moloka'i, 28.7 , 24.2 ,18.6   ,,,,,,,,,,,,
     Lāna'i, 82.3 , 71.9 ,14.5   ,,,,,,,,,,,,
     Kaua'i," 1,193.6 "," 1,082.5 ",10.3   ,,,,,,,,,,,,
     Hawai'i Island," 1,498.2 "," 1,345.5 ",11.4   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PER PERSON PER DAY SPENDING ($),,,,,,,,,,,,,,,
     O'ahu, 194.4 , 176.8 ,10.0   ,,,,,,,,,,,,
     Maui, 175.3 , 173.7 ,0.9   ,,,,,,,,,,,,
     Moloka'i, 111.6 , 99.8 ,11.8   ,,,,,,,,,,,,
     Lāna'i, 311.9 , 291.0 ,7.2   ,,,,,,,,,,,,
     Kaua'i, 154.7 , 149.4 ,3.6   ,,,,,,,,,,,,
     Hawai'i Island, 151.8 , 146.1 ,4.0   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS (AIR + SHIP),,,,,,,,,,,,,,,
     O'ahu," 4,525,697 "," 4,372,181 ",3.5   ,,,,,,,,,,,,
     Maui," 2,283,728 "," 2,174,613 ",5.0   ,,,,,,,,,,,,
     Moloka'i," 57,557 "," 51,714 ",11.3   ,,,,,,,,,,,,
     Lāna'i," 78,838 "," 71,473 ",10.3   ,,,,,,,,,,,,
     Kaua'i," 1,115,629 "," 1,033,021 ",8.0   ,,,,,,,,,,,,
     Hawai'i Island," 1,433,588 "," 1,369,294 ",4.7   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS BY AIR,,,,,,,,,,,,,,,
     O'ahu," 4,401,624 "," 4,273,658 ",3.0   ,,,,,,,,,,,,
     Maui," 2,168,487 "," 2,080,403 ",4.2   ,,,,,,,,,,,,
     Moloka'i," 55,250 "," 49,709 ",11.1   ,,,,,,,,,,,,
     Lāna'i," 75,004 "," 68,205 ",10.0   ,,,,,,,,,,,,
     Kaua'i," 1,011,500 "," 955,112 ",5.9   ,,,,,,,,,,,,
     Hawai'i Island," 1,318,310 "," 1,281,232 ",2.9   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
