TABLE 1:  Summary of Visitor Statistics: 2012 vs. 2011,,,,,,
,,,,,,
TOTAL EXPENDITURES ($mil.),2012,2011,(%) Change,,,
TOTAL EXPENDITURES ($mil.)," 14,364.8 "," 12,158.2 ",18.1   ,,,
Visitor arrivals by air," 14,192.7 "," 12,025.4 ",18.0   ,,,
Visitor arrivals by cruise ships, 57.5 , 22.9 ,151.7   ,,,
Supplemental business (all MMAs), 114.6 , 109.9 ,4.3   ,,,
,,,,,,
,,,,,,
MMA (Air & Ship),2012,2011,(%) Change,,,
EXPENDITURES ($mil.)," 14,250.2 "," 12,048.3 ",18.3   ,,,
Visitor arrivals by air," 14,192.7 "," 12,025.4 ",18.0   ,,,
     U.S. West," 4,640.1 "," 4,142.8 ",12.0   ,,,
     U.S. East," 3,434.2 "," 3,108.2 ",10.5   ,,,
     Japan," 2,734.9 "," 2,164.0 ",26.4   ,,,
     Canada," 1,022.8 ", 906.0 ,12.9   ,,,
  Europe, 292.1 , 244.0 ,19.7   ,,,
  Oceania, 639.8 , 477.4 ,34.0   ,,,
  Other Asia, 598.9 , 373.8 ,60.2   ,,,
  Latin America, 61.9 , 54.0 ,14.7   ,,,
  Other, 767.9 , 555.5 ,38.2   ,,,
Visitor arrivals by cruise ships, 57.5 , 22.9 ,151.7   ,,,
,,,,,,
TOTAL VISITOR DAYS," 74,519,278 "," 68,466,519 ",8.8   ,,,
Visitor arrivals by air,"73,663,903 ","67,825,871 ",8.6   ,,,
     U.S. West,"30,471,505 ","28,768,587 ",5.9   ,,,
     U.S. East,"17,852,102 ","17,178,727 ",3.9   ,,,
     Japan,"8,819,493 ","7,484,700 ",17.8   ,,,
     Canada,"6,497,799 ","6,040,316 ",7.6   ,,,
     Europe,"1,669,269 ","1,525,705 ",9.4   ,,,
     Oceania,"2,606,362 ","2,092,356 ",24.6   ,,,
     Other Asia,"1,952,920 ","1,443,836 ",35.3   ,,,
     Latin America,"309,111 ","255,203 ",21.1   ,,,
     Other,"3,485,343 ","3,036,440 ",14.8   ,,,
Visitor arrivals by cruise ships,"855,375 ","640,648 ",33.5   ,,,
,,,,,,
VISITOR ARRIVALS,"8,028,743 ","7,299,047 ",10.0   ,,,
Visitor arrivals by air,"7,867,143 ","7,174,397 ",9.7   ,,,
