TABLE 1:  Summary of Visitor Statistics: 2013 vs. 2012,,,
,,,
TOTAL EXPENDITURES ($mil.),2013,2012,% Change
,,,
TOTAL EXPENDITURES ($mil.)," 14,520.5 "," 14,364.8 ",1.1   
Visitor arrivals by air," 14,352.4 "," 14,192.7 ",1.1   
Visitor arrivals by cruise ships, 68.8 , 57.5 ,19.7   
Supplemental business (all MMAs), 108.0 , 114.6 ,-5.8   
,,,
,,,
MMA (Air & Ship),2013,2012,% Change
,,,
TOTAL EXPENDITURES ($mil.)," 14,421.3 ","14,250.2",1.2   
Visitor arrivals by air," 14,352.4 "," 14,192.7 ",1.1   
     U.S. West," 4,806.3 "," 4,640.1 ",3.6   
     U.S. East," 3,544.6 "," 3,434.2 ",3.2   
     Japan," 2,486.0 "," 2,734.9 ",-9.1   
     Canada," 1,083.0 "," 1,022.8 ",5.9   
  Europe, 321.6 , 292.1 ,10.1   
  Oceania, 877.1 , 639.8 ,37.1   
  Other Asia, 710.8 , 598.9 ,18.7   
  Latin America, 74.2 , 61.9 ,19.9   
  Other, 448.9 , 767.9 ,-41.5   
Visitor arrivals by cruise ships, 68.8 , 57.5 ,19.7   
,,,
TOTAL VISITOR DAYS,"74,942,169 ","74,519,278 ",0.6   
Visitor arrivals by air,"74,049,772 ","73,663,903 ",0.5   
     U.S. West,"30,712,024 ","30,471,505 ",0.8   
     U.S. East,"17,819,671 ","17,852,102 ",-0.2   
     Japan,"9,015,780 ","8,819,493 ",2.2   
     Canada,"6,600,896 ","6,497,799 ",1.6   
     Europe,"1,818,056 ","1,669,269 ",8.9   
     Oceania,"3,379,558 ","2,606,362 ",29.7   
     Other Asia,"2,274,522 ","1,952,920 ",16.5   
     Latin America,"333,980 ","309,111 ",8.0   
     Other,"2,095,284 ","3,485,343 ",-39.9   
Visitor arrivals by cruise ships,"892,397 ","855,375 ",4.3   
,,,
VISITOR ARRIVALS,"8,174,461 ","8,028,743 ",1.8   
Visitor arrivals by air,"8,003,474 ","7,867,143 ",1.7   
     U.S. West,"3,211,429 ","3,178,824 ",1.0   
     U.S. East,"1,701,852 ","1,699,625 ",0.1   
     Japan,"1,518,517 ","1,465,654 ",3.6   
     Canada,"517,011 ","499,144 ",3.6   
     Europe,"136,805 ","129,252 ",5.8   
     Oceania,"355,568 ","273,039 ",30.2   
     Other Asia,"335,072 ","289,977 ",15.6   
     Latin America ,"30,265 ","25,519 ",18.6   
     Other,"196,955 ","306,110 ",-35.7   
Visitor arrivals by cruise ships,"170,987 ","161,600 ",5.8   
,,,
,,,
Note: Sums may not add up to total due to rounding.,,,
Source: Hawai‘i Tourism Authority,,,
,,,
MMA (Air & Ship),2013,2012,% Change
,,,
AVERAGE LENGTH OF STAY (days), 9.17 , 9.28 ,-1.2   
Visitor arrivals by air, 9.25 , 9.36 ,-1.2   
     U.S. West, 9.56 , 9.59 ,-0.2   
     U.S. East, 10.47 , 10.50 ,-0.3   
     Japan, 5.94 , 6.02 ,-1.3   
     Canada, 12.77 , 13.02 ,-1.9   
     Europe, 13.29 , 12.91 ,2.9   
     Oceania, 9.50 , 9.55 ,-0.4   
     Other Asia, 6.79 , 6.73 ,0.8   
     Latin America, 11.04 , 12.11 ,-8.9   
     Other, 10.64 , 11.39 ,-6.6   
Visitor arrivals by cruise ships, 5.22 , 5.29 ,-1.4   
,,,
PER PERSON PER DAY SPENDING ($), 192.4 , 191.2 ,0.6   
Visitor arrivals by air, 193.8 , 192.7 ,0.6   
     U.S. West, 156.5 , 152.3 ,2.8   
     U.S. East, 198.9 , 192.4 ,3.4   
     Japan, 275.7 , 310.1 ,-11.1   
     Canada, 164.1 , 157.4 ,4.2   
     Europe, 176.9 , 175.0 ,1.1   
     Oceania, 259.5 , 245.5 ,5.7   
     Other Asia, 312.5 , 306.7 ,1.9   
     Latin America, 222.2 , 200.2 ,11.0   
     Other, 214.2 , 220.3 ,-2.8   
Visitor arrivals by cruise ships, 77.1 , 67.3 ,14.7   
,,,
