TABLE 1:  Summary of Visitor Statistics: 2014 vs. 2013,,,,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.),2014,2013,(%) Change,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 14,943.1 "," 14,520.5 ",2.9   ,,,,,
Visitor expenditure by air," 14,778.5 "," 14,352.4 ",3.0   ,,,,,
Visitor expenditure by cruise ships, 42.5 , 60.1 ,-29.3   ,,,,,
Supplemental business (all MMAs), 122.1 , 108.0 ,13.1   ,,,,,
,,,,,,,,
,,,,,,,,
MMA (Air & Ship),2014,2013,(%) Change,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 14,821.0 ","14,412.6",2.8   ,,,,,
Visitor arrivals by air," 14,778.5 "," 14,352.4 ",3.0   ,,,,,
U.S. West," 4,992.2 "," 4,806.3 ",3.9   ,,,,,
U.S. East," 3,736.0 "," 3,544.6 ",5.4   ,,,,,
Japan," 2,396.6 "," 2,486.0 ",-3.6   ,,,,,
Canada," 1,076.9 "," 1,083.0 ",-0.6   ,,,,,
Europe, 342.2 , 321.6 ,6.4   ,,,,,
Oceania, 895.8 , 877.1 ,2.1   ,,,,,
Other Asia, 807.6 , 710.8 ,13.6   ,,,,,
Latin America, 94.6 , 74.2 ,27.6   ,,,,,
Other, 436.5 , 448.9 ,-2.8   ,,,,,
Visitor arrivals by cruise ships, 42.5 , 60.1 ,-29.3   ,,,,,
,,,,,,,,
TOTAL VISITOR DAYS,"75,646,053 ","74,942,169 ",0.9   ,,,,,
Visitor arrivals by air,"74,982,915 ","74,049,772 ",1.3   ,,,,,
U.S. West,"31,073,340 ","30,712,024 ",1.2   ,,,,,
U.S. East,"18,078,650 ","17,819,671 ",1.5   ,,,,,
Japan,"8,766,490 ","9,015,780 ",-2.8   ,,,,,
Canada,"6,776,118 ","6,600,896 ",2.7   ,,,,,
Europe,"1,881,071 ","1,818,056 ",3.5   ,,,,,
Oceania,"3,453,294 ","3,379,558 ",2.2   ,,,,,
Other Asia,"2,518,655 ","2,274,522 ",10.7   ,,,,,
Latin America,"350,370 ","333,980 ",4.9   ,,,,,
Other,"2,084,926 ","2,095,284 ",-0.5   ,,,,,
Visitor arrivals by cruise ships,"663,138 ","892,397 ",-25.7   ,,,,,
,,,,,,,,
VISITOR ARRIVALS,"8,308,114 ","8,174,461 ",1.6   ,,,,,
Visitor arrivals by air,"8,183,671 ","8,003,474 ",2.3   ,,,,,
U.S. West,"3,286,677 ","3,211,429 ",2.3   ,,,,,
U.S. East,"1,734,794 ","1,701,852 ",1.9   ,,,,,
Japan,"1,511,699 ","1,518,517 ",-0.4   ,,,,,
Canada,"524,565 ","517,011 ",1.5   ,,,,,
Europe,"143,057 ","136,805 ",4.6   ,,,,,
Oceania,"371,072 ","355,568 ",4.4   ,,,,,
Other Asia,"368,502 ","335,072 ",10.0   ,,,,,
Latin America,"30,095 ","30,265 ",-0.6   ,,,,,
Other,"213,210 ","196,955 ",8.3   ,,,,,
Visitor arrivals by cruise ships,"124,443 ","170,987 ",-27.2   ,,,,,
