TABLE 1:  Summary of Visitor Statistics: 2015 vs. 2014R,,,,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.),2015,2014R,(%) Change,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 15,110.9 "," 14,973.3 ",0.9   ,,,,,
Visitor expenditure by air," 14,938.5 "," 14,808.6 ",0.9   ,,,,,
Visitor expenditure by cruise ships, 38.4 , 42.5 ,-9.8   ,,,,,
Supplemental business (all MMAs), 134.1 , 122.1 ,9.8   ,,,,,
,,,,,,,,
,,,,,,,,
MMA (Air & Ship),2015,2014R,(%) Change,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 14,976.9 "," 14,851.1 ",0.8   ,,,,,
Visitor arrivals by air," 14,938.5 "," 14,808.6 ",0.9   ,,,,,
U.S. West," 5,275.7 "," 4,930.5 ",7.0   ,,,,,
U.S. East," 3,674.6 "," 3,655.0 ",0.5   ,,,,,
Japan," 2,052.7 "," 2,396.7 ",-14.4   ,,,,,
Canada," 1,053.2 "," 1,073.4 ",-1.9   ,,,,,
Europe, 337.2 , 339.1 ,-0.6   ,,,,,
Oceania," 1,001.3 ", 894.3 ,12.0   ,,,,,
Other Asia, 903.9 , 806.7 ,12.1   ,,,,,
Latin America, 79.8 , 93.5 ,-14.6   ,,,,,
Other, 560.1 , 619.5 ,-9.6   ,,,,,
Visitor arrivals by cruise ships, 38.4 , 42.5 ,-9.8   ,,,,,
,,,,,,,,
TOTAL VISITOR DAYS,"78,620,086 ","75,932,335 ",3.5   ,,,,,
Visitor arrivals by air,"78,086,081 ","75,269,197 ",3.7   ,,,,,
U.S. West,"32,561,688 ","30,780,359 ",5.8   ,,,,,
U.S. East,"18,580,408 ","17,841,799 ",4.1   ,,,,,
Japan,"8,685,616 ","8,766,526 ",-0.9   ,,,,,
Canada,"6,520,761 ","6,753,350 ",-3.4   ,,,,,
Europe,"1,897,157 ","1,868,643 ",1.5   ,,,,,
Oceania,"3,810,265 ","3,458,816 ",10.2   ,,,,,
Other Asia,"2,656,624 ","2,515,855 ",5.6   ,,,,,
Latin America,"322,634 ","346,837 ",-7.0   ,,,,,
Other,"3,050,930 ","2,937,012 ",3.9   ,,,,,
Visitor arrivals by cruise ships,"534,005 ","663,138 ",-19.5   ,,,,,
,,,,,,,,
VISITOR ARRIVALS,"8,679,564 ","8,320,785 ",4.3   ,,,,,
Visitor arrivals by air,"8,563,018 ","8,196,342 ",4.5   ,,,,,
U.S. West,"3,507,652 ","3,255,475 ",7.7   ,,,,,
U.S. East,"1,803,670 ","1,713,085 ",5.3   ,,,,,
Japan,"1,482,304 ","1,511,739 ",-1.9   ,,,,,
Canada,"512,323 ","522,761 ",-2.0   ,,,,,
