TABLE 1:  Summary of Visitor Statistics: 2016 vs. 2015,,,,
,,,,
TOTAL EXPENDITURES ($mil.),2016,2015,(%) Change,
,,,,
TOTAL EXPENDITURES ($mil.)," 15,911.2 "," 15,110.9 ",5.3   ,
Visitor expenditure by air," 15,753.5 "," 14,938.5 ",5.5   ,
Visitor expenditure by cruise ships, 39.6 , 38.4 ,3.3   ,
Supplemental business (all MMAs), 118.1 , 134.1 ,-11.9   ,
,,,,
,,,,
MMA (Air & Ship),2016,2015,(%) Change,
,,,,
TOTAL EXPENDITURES ($mil.),"15,793.1 ","14,976.9 ",5.4   ,
Visitor arrivals by air,"15,753.5 ","14,938.5 ",5.5   ,
U.S. West,"5,634.1 ","5,275.7 ",6.8   ,
U.S. East,"3,889.4 ","3,674.6 ",5.8   ,
Japan,"2,095.9 ","2,052.7 ",2.1   ,
Canada,954.9 ,"1,053.2 ",-9.3   ,
Europe,353.4 ,337.2 ,4.8   ,
Oceania,"1,070.4 ","1,001.3 ",6.9   ,
Other Asia,"1,073.6 ",903.9 ,18.8   ,
Latin America,56.5 ,79.8 ,-29.2   ,
Other,625.1 ,560.1 ,11.6   ,
Visitor arrivals by cruise ships,39.6 ,38.4 ,3.3   ,
,,,,
TOTAL VISITOR DAYS,"80,225,407 ","78,620,086 ",2.0   ,
Visitor arrivals by air,"79,669,135 ","78,086,081 ",2.0   ,
U.S. West,"33,552,091 ","32,561,688 ",3.0   ,
U.S. East,"19,283,520 ","18,580,408 ",3.8   ,
Japan,"8,722,235 ","8,685,616 ",0.4   ,
Canada,"5,926,189 ","6,520,761 ",-9.1   ,
Europe,"1,860,887 ","1,897,157 ",-1.9   ,
Oceania,"3,736,542 ","3,810,265 ",-1.9   ,
Other Asia,"3,151,235 ","2,656,624 ",18.6   ,
Latin America,"302,638 ","322,634 ",-6.2   ,
Other,"3,133,799 ","3,050,930 ",2.7   ,
Visitor arrivals by cruise ships,"556,271 ","534,005 ",4.2   ,
,,,,
VISITOR ARRIVALS,"8,934,277 ","8,679,564 ",2.9   ,
Visitor arrivals by air,"8,821,802 ","8,563,018 ",3.0   ,
U.S. West,"3,664,150 ","3,507,652 ",4.5   ,
U.S. East,"1,892,768 ","1,803,670 ",4.9   ,
Japan,"1,487,979 ","1,482,304 ",0.4   ,
Canada,"469,314 ","512,323 ",-8.4   ,
