TABLE 1:  Summary of Visitor Statistics: 2018 vs. 2017R,,,,
,,,,
TOTAL EXPENDITURES ($mil.),2018,2017R,(%) Change,
,,,,
TOTAL EXPENDITURES ($mil.)," 17,642.5 "," 16,794.4 ",5.1   ,
Visitor expenditure by air," 17,464.4 "," 16,622.3 ",5.1   ,
Visitor expenditure by cruise ships, 45.3 , 46.4 ,-2.4   ,
Supplemental business (all MMAs), 132.8 , 125.6 ,5.7   ,
,,,,
,,,,
MMA (Air & Ship),2018,2017R,(%) Change,
,,,,
TOTAL EXPENDITURES ($mil.),"17,509.7 ","16,668.7 ",5.0   ,
Visitor arrivals by air,"17,464.4 ","16,622.3 ",5.1   ,
U.S. West,"6,588.4 ","6,105.4 ",7.9   ,
U.S. East,"4,529.9 ","4,270.8 ",6.1   ,
Japan,"2,144.7 ","2,160.0 ",-0.7   ,
Canada,"1,108.5 ","1,040.6 ",6.5   ,
Europe,326.3 ,309.8 ,5.3   ,
Oceania,"1,045.2 ","1,041.3 ",0.4   ,
Other Asia,899.7 ,993.8 ,-9.5   ,
Latin America,71.2 ,71.2 ,0.0   ,
Other,750.3 ,629.4 ,19.2   ,
Visitor arrivals by cruise ships,45.3 ,46.4 ,-2.4   ,
,,,,
TOTAL VISITOR DAYS,"88,284,715 ","84,167,403 ",4.9   ,
Visitor arrivals by air,"87,724,599 ","83,608,118 ",4.9   ,
U.S. West,"37,477,016 ","35,030,994 ",7.0   ,
U.S. East,"21,553,568 ","20,495,303 ",5.2   ,
Japan,"8,892,748 ","9,082,588 ",-2.1   ,
Canada,"6,743,492 ","6,468,689 ",4.2   ,
Europe,"1,902,379 ","1,863,021 ",2.1   ,
Oceania,"4,014,147 ","3,870,803 ",3.7   ,
Other Asia,"2,910,193 ","3,339,894 ",-12.9   ,
Latin America,"295,854 ","280,813 ",5.4   ,
Other,"3,935,203 ","3,176,012 ",23.9   ,
Visitor arrivals by cruise ships,"560,115 ","559,285 ",0.1   ,
,,,,
VISITOR ARRIVALS,"9,888,845 ","9,404,346 ",5.2   ,
Visitor arrivals by air,"9,761,448 ","9,277,613 ",5.2   ,
U.S. West,"4,203,894 ","3,868,195 ",8.7   ,
U.S. East,"2,173,458 ","2,040,795 ",6.5   ,
Japan,"1,489,778 ","1,525,343 ",-2.3   ,
Canada,"548,702 ","520,062 ",5.5   ,
Europe,"144,953 ","142,665 ",1.6   ,
Oceania,"415,764 ","400,957 ",3.7   ,
Other Asia,"379,925 ","449,082 ",-15.4   ,
Latin America,"27,778 ","24,986 ",11.2   ,
Other,"377,196 ","305,527 ",23.5   ,
Visitor arrivals by cruise ships,"127,397 ","126,733 ",0.5   ,
,,,,
AVERAGE LENGTH OF STAY (days),8.93 ,8.95 ,-0.2   ,
Visitor arrivals of stay by air,8.99 ,9.01 ,-0.3   ,
U.S. West,8.91 ,9.06 ,-1.6   ,
U.S. East,9.92 ,10.04 ,-1.3   ,
Japan,5.97 ,5.95 ,0.2   ,
Canada,12.29 ,12.44 ,-1.2   ,
Europe,13.12 ,13.06 ,0.5   ,
Oceania,9.65 ,9.65 ,0.0   ,
Other Asia,7.66 ,7.44 ,3.0   ,
Latin America,10.65 ,11.24 ,-5.2   ,
Other,10.43 ,10.40 ,0.4   ,
Visitor arrivals of stay by cruise ships,4.40 ,4.41 ,-0.4   ,
,,,,
PER PERSON PER DAY SPENDING ($),198.3 ,198.0 ,0.1   ,
Visitor arrivals by air,199.1 ,198.8 ,0.1   ,
U.S. West,175.8 ,174.3 ,0.9   ,
U.S. East,210.2 ,208.4 ,0.9   ,
Japan,241.2 ,237.8 ,1.4   ,
Canada,164.4 ,160.9 ,2.2   ,
Europe,171.5 ,166.3 ,3.2   ,
Oceania,260.4 ,269.0 ,-3.2   ,
Other Asia,309.2 ,297.5 ,3.9   ,
Latin America,240.6 ,253.4 ,-5.1   ,
Other,190.7 ,198.2 ,-3.8   ,
Visitor arrivals by cruise ships,80.9 ,83.0 ,-2.5   ,
,,,,
PER PERSON PER TRIP SPENDING ($),"1,770.6 ","1,772.5 ",-0.1   ,
Visitor arrivals by air,"1,789.1 ","1,791.7 ",-0.1   ,
U.S. West,"1,567.2 ","1,578.4 ",-0.7   ,
U.S. East,"2,084.2 ","2,092.7 ",-0.4   ,
Japan,"1,439.6 ","1,416.1 ",1.7   ,
Canada,"2,020.3 ","2,001.0 ",1.0   ,
Europe,"2,251.2 ","2,171.5 ",3.7   ,
Oceania,"2,514.0 ","2,596.9 ",-3.2   ,
Other Asia,"2,368.2 ","2,212.9 ",7.0   ,
Latin America,"2,562.6 ","2,848.5 ",-10.0   ,
Other,"1,989.2 ","2,060.2 ",-3.4   ,
Visitor arrivals by cruise ships,355.5 ,366.1 ,-2.9   ,
,,,,
,,,,
ISLAND (Air & Ship),2018,2017R,(%) Change,
,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)","17,509.7 ","16,668.7 ",5.0   ,
Total by air,"17,464.4 ","16,622.3 ",5.1   ,
     O'ahu,"7,969.1 ","7,597.7 ",4.9   ,
     Maui,"5,002.3 ","4,701.0 ",6.4   ,
     Moloka'i,40.8 ,34.7 ,17.6   ,
     Lāna'i,109.2 ,84.2 ,29.7   ,
     Kaua'i,"1,994.1 ","1,817.0 ",9.7   ,
     Hawai'i Island,"2,349.0 ","2,387.9 ",-1.6   ,
Visitor arrivals by cruise ships,45.3 ,46.4 ,-2.4   ,
,,,,
TOTAL VISITOR DAYS,"88,284,715 ","84,167,403 ",4.9   ,
Total by air,"87,724,599 ","83,608,118 ",4.9   ,
     O'ahu,"40,478,710 ","38,347,754 ",5.6   ,
     Maui,"23,532,681 ","22,155,561 ",6.2   ,
     Moloka'i,"284,608 ","279,374 ",1.9   ,
     Lāna'i,"255,989 ","218,733 ",17.0   ,
     Kaua'i,"10,388,952 ","9,641,677 ",7.8   ,
     Hawai'i Island,"12,783,660 ","12,965,019 ",-1.4   ,
Visitor arrivals by cruise ships,"560,115 ","559,285 ",0.1   ,
,,,,
VISITOR ARRIVALS,"9,888,845 ","9,404,346 ",5.2   ,
Total by air,"9,761,448 ","9,277,613 ",5.2   ,
     O'ahu,"5,862,358 ","5,683,344 ",3.1   ,
     Maui,"2,914,912 ","2,757,776 ",5.7   ,
     Moloka'i,"58,885 ","57,998 ",1.5   ,
     Lāna'i,"75,010 ","64,529 ",16.2   ,
     Kaua'i,"1,389,300 ","1,285,443 ",8.1   ,
     Hawai'i Island,"1,706,218 ","1,767,144 ",-3.4   ,
Visitor arrivals by cruise ships,"127,397 ","126,733 ",0.5   ,
,,,,
AVERAGE LENGTH OF STAY,8.93 ,8.95 ,-0.2   ,
Total by air,8.99 ,9.01 ,-0.3   ,
     O'ahu,6.90 ,6.75 ,2.3   ,
     Maui,8.07 ,8.03 ,0.5   ,
     Moloka'i,4.83 ,4.82 ,0.3   ,
     Lāna'i,3.41 ,3.39 ,0.7   ,
     Kaua'i,7.48 ,7.50 ,-0.3   ,
     Hawai'i Island,7.49 ,7.34 ,2.1   ,
Visitor arrivals by cruise ships,4.40 ,4.41 ,-0.4   ,
,,,,
PER PERSON PER DAY SPENDING ($),198.3 ,198.0 ,0.1   ,
Total by air,199.1 ,198.8 ,0.1   ,
     O'ahu,196.9 ,198.1 ,-0.6   ,
     Maui,212.6 ,212.2 ,0.2   ,
     Moloka'i,143.3 ,124.1 ,15.5   ,
     Lāna'i,426.5 ,384.8 ,10.9   ,
     Kaua'i,191.9 ,188.5 ,1.9   ,
     Hawai'i Island,183.7 ,184.2 ,-0.2   ,
Visitor arrivals by cruise ships,80.9 ,83.0 ,-2.5   ,
,,,,
PER PERSON PER TRIP SPENDING ($),"1,770.6 ","1,772.5 ",-0.1   ,
Total by air,"1,789.1 ","1,791.7 ",-0.1   ,
     O'ahu,"1,359.4 ","1,336.8 ",1.7   ,
     Maui,"1,716.1 ","1,704.6 ",0.7   ,
     Moloka'i,692.4 ,597.6 ,15.9   ,
     Lāna'i,"1,455.7 ","1,304.2 ",11.6   ,
     Kaua'i,"1,435.3 ","1,413.5 ",1.5   ,
     Hawai'i Island,"1,376.7 ","1,351.3 ",1.9   ,
Visitor arrivals by cruise ships,355.5 ,366.1 ,-2.9   ,
,,,,
,,,,
R = 2017 data were revised from the 2017 Annual Visitor Research Report.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
