Summary of Visitor Statistics: 2021 vs. 2020,,,,,
,,,,,
TOTAL EXPENDITURES ($mil.),2021,2020,(%) Change,,
,,,,,
TOTAL EXPENDITURES ($mil.)," 13,154.2 ", NA , NA ,,
Visitor expenditure by air," 13,127.0 ", NA , NA ,,
Visitor expenditure by cruise ships,0 , NA , NA ,,
Supplemental business (all MMAs), 27.2 , NA , NA ,,
,,,,,
,,,,,
MMA (Air & Ship),2021,2020,(%) Change,,
,,,,,
TOTAL EXPENDITURES ($mil.)," 13,127.0 ",NA, NA ,,
Visitor arrivals by air," 13,127.0 ",NA, NA ,,
U.S. West," 7,994.4 ",NA, NA ,,
U.S. East," 4,323.5 ",NA, NA ,,
Japan, 65.1 ,NA, NA ,,
Canada, 240.6 ,NA, NA ,,
Europe, 52.9 ,NA, NA ,,
Oceania, 19.8 ,NA, NA ,,
Other Asia, 83.2 ,NA, NA ,,
Latin America, 29.9 ,NA, NA ,,
Other, 317.6 ,NA, NA ,,
Visitor arrivals by cruise ships,0 ,NA, NA ,,
,,,,,
TOTAL VISITOR DAYS,"65,312,274 ","28,659,776 ",127.9 ,,
Visitor arrivals by air,"65,312,274 ","28,516,797 ",129.0 ,,
U.S. West,"40,900,008 ","13,921,800 ",193.8 ,,
U.S. East,"20,349,720 ","8,077,056 ",151.9 ,,
Japan,"294,720 ","1,719,843 ",-82.9 ,,
Canada,"1,364,326 ","2,265,568 ",-39.8 ,,
Europe,"314,899 ","296,487 ",6.2 ,,
Oceania,"84,413 ","479,534 ",-82.4 ,,
Other Asia,"291,950 ","609,087 ",-52.1 ,,
Latin America,"119,596 ","88,475 ",35.2 ,,
Other,"1,592,643 ","1,058,948 ",50.4 ,,
Visitor arrivals by cruise ships,0 ,"142,979 ",-100.0 ,,
,,,,,
VISITOR ARRIVALS,"6,777,760 ","2,708,258 ",150.3 ,,
Visitor arrivals by air,"6,777,760 ","2,678,073 ",153.1 ,,
U.S. West,"4,473,588 ","1,311,176 ",241.2 ,,
U.S. East,"1,995,311 ","676,150 ",195.1 ,,
Japan,"18,936 ","289,137 ",-93.5 ,,
Canada,"87,900 ","164,393 ",-46.5 ,,
Europe,"18,775 ","21,550 ",-12.9 ,,
Oceania,"6,524 ","50,710 ",-87.1 ,,
Other Asia,"22,524 ","67,906 ",-66.8 ,,
Latin America,"9,348 ","6,211 ",50.5 ,,
Other,"144,853 ","90,839 ",59.5 ,,
Visitor arrivals by cruise ships,0 ,"30,185 ",-100.0 ,,
,,,,,
AVERAGE LENGTH OF STAY (days),9.64 ,10.58 ,-8.9 ,,
Visitor arrivals of stay by air,9.64 ,10.65 ,-9.5 ,,
U.S. West,9.14 ,10.62 ,-13.9 ,,
U.S. East,10.20 ,11.95 ,-14.6 ,,
Japan,15.56 ,5.95 ,161.6 ,,
Canada,15.52 ,13.78 ,12.6 ,,
Europe,16.77 ,13.76 ,21.9 ,,
Oceania,12.94 ,9.46 ,36.8 ,,
Other Asia,12.96 ,8.97 ,44.5 ,,
Latin America,12.79 ,14.25 ,-10.2 ,,
Other,10.99 ,11.66 ,-5.7 ,,
Visitor arrivals of stay by cruise ships,0 ,4.74 ,-100.0 ,,
,,,,,
PER PERSON PER DAY SPENDING ($), 201.0 ,NA, NA ,,
Visitor arrivals by air, 201.1 ,NA, NA ,,
U.S. West, 195.5 ,NA, NA ,,
U.S. East, 212.5 ,NA, NA ,,
Japan, 220.9 ,NA, NA ,,
Canada, 176.4 ,NA, NA ,,
Europe, 167.9 ,NA, NA ,,
Oceania, 235.1 ,NA, NA ,,
Other Asia, 285.1 ,NA, NA ,,
Latin America, 249.7 ,NA, NA ,,
Other, 199.4 ,NA, NA ,,
Visitor arrivals by cruise ships,0 ,NA, NA ,,
,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,936.8 ",NA, NA ,,
Visitor arrivals by air," 1,936.8 ",NA, NA ,,
U.S. West," 1,787.0 ",NA, NA ,,
U.S. East," 2,166.8 ",NA, NA ,,
Japan," 3,438.7 ",NA, NA ,,
Canada," 2,737.5 ",NA, NA ,,
Europe," 2,815.3 ",NA, NA ,,
Oceania," 3,041.4 ",NA, NA ,,
Other Asia," 3,695.6 ",NA, NA ,,
Latin America," 3,194.1 ",NA, NA ,,
Other," 2,192.2 ",NA, NA ,,
Visitor arrivals by cruise ships,0 ,NA, NA ,,
,,,,,
,,,,,
ISLAND (Air & Ship),2021,2020,(%) Change,,
,,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)"," 13,127.0 ",NA, NA ,,
Total by air," 13,127.0 ",NA, NA ,,
     O'ahu," 5,708.7 ",NA, NA ,,
     Maui," 4,043.1 ",NA, NA ,,
     Moloka'i, 25.2 ,NA, NA ,,
     Lāna'i, 108.1 ,NA, NA ,,
     Kaua'i," 1,404.7 ",NA, NA ,,
     Hawai'i Island," 1,837.2 ",NA, NA ,,
Visitor arrivals by cruise ships,0 ,NA, NA ,,
,,,,,
TOTAL VISITOR DAYS,"65,312,274 ","28,659,776 ",127.9 ,,
Total by air,"65,312,274 ","28,516,797 ",129.0 ,,
     O'ahu,"26,898,075 ","12,829,630 ",109.7 ,,
     Maui,"20,025,929 ","7,553,095 ",165.1 ,,
     Moloka'i,"182,658 ","117,947 ",54.9 ,,
     Lāna'i,"234,938 ","83,228 ",182.3 ,,
     Kaua'i,"7,005,805 ","2,940,354 ",138.3 ,,
     Hawai'i Island,"10,964,869 ","4,992,542 ",119.6 ,,
Visitor arrivals by cruise ships,0 ,"142,979 ",-100.0 ,,
,,,,,
VISITOR ARRIVALS,"6,777,760 ","2,708,258 ",150.3 ,,
Total by air,"6,777,760 ","2,678,073 ",153.1 ,,
     O'ahu,"3,326,622 ","1,506,316 ",120.8 ,,
     Maui,"2,303,942 ","792,602 ",190.7 ,,
     Moloka'i,"25,758 ","17,025 ",51.3 ,,
     Lāna'i,"47,829 ","17,924 ",166.8 ,,
     Kaua'i,"813,647 ","330,263 ",146.4 ,,
     Hawai'i Island,"1,183,458 ","493,817 ",139.7 ,,
Visitor arrivals by cruise ships,0 ,"30,185 ",-100.0 ,,
,,,,,
AVERAGE LENGTH OF STAY,9.64 ,10.58 ,-8.9 ,,
Total by air,9.64 ,10.65 ,-9.5 ,,
     O'ahu,8.09 ,8.52 ,-5.0 ,,
     Maui,8.69 ,9.53 ,-8.8 ,,
     Moloka'i,7.09 ,6.93 ,2.3 ,,
     Lāna'i,4.91 ,4.64 ,5.7 ,,
     Kaua'i,8.61 ,8.90 ,-3.3 ,,
     Hawai'i Island,9.27 ,10.11 ,-8.3 ,,
Visitor arrivals by cruise ships,0.00 ,4.74 ,-100.0 ,,
,,,,,
PER PERSON PER DAY SPENDING ($), 201.0 ,NA, NA ,,
Total by air, 201.0 ,NA, NA ,,
     O'ahu, 212.2 ,NA, NA ,,
     Maui, 201.9 ,NA, NA ,,
     Moloka'i, 138.0 ,NA, NA ,,
     Lāna'i, 460.2 ,NA, NA ,,
     Kaua'i, 200.5 ,NA, NA ,,
     Hawai'i Island, 167.6 ,NA, NA ,,
Visitor arrivals by cruise ships,0 ,NA, NA ,,
,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,936.8 ",NA, NA ,,
Total by air," 1,936.8 ",NA, NA ,,
     O'ahu," 1,716.1 ",NA, NA ,,
     Maui," 1,754.9 ",NA, NA ,,
     Moloka'i, 978.9 ,NA, NA ,,
     Lāna'i," 2,260.4 ",NA, NA ,,
     Kaua'i," 1,726.4 ",NA, NA ,,
     Hawai'i Island," 1,552.4 ",NA, NA ,,
Visitor arrivals by cruise ships,0 ,NA, NA ,,
,,,,,
"NA = Annual 2020 visitor spending statistics were not available. Due to COVID-19 restrictions, Departure Surveys",,,,,
 were not conducted from April - October 2020. Visitor spending statistics for months in 2020 which data ,,,,,
"are available are presented in Tables 2 & 3 of the 2020 Annual Visitor Research Report, posted on DBEDT website: ",,,,,
https://files.hawaii.gov/dbedt/visitor/visitor-research/2020-annual-visitor.pdf,,,,,
,,,,,
