Summary of Visitor Statistics: 2022 vs. 2021,,,,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.),2022,2021,(%) Change,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 19,800.0 "," 13,154.2 ", 50.5 ,,,,,,,
Visitor expenditure by air," 19,653.6 "," 13,127.0 ", 49.7 ,,,,,,,
Visitor expenditure by cruise ships,45.5 ,0.0 , NA ,,,,,,,
Supplemental business (all MMAs), 100.8 , 27.2 , 270.1 ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MMA (Air & Ship),2022,2021,(%) Change,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 19,699.1 "," 13,127.0 ",50.1 ,,,,,,,
Visitor arrivals by air," 19,653.6 "," 13,127.0 ",49.7 ,,,,,,,
U.S. West," 10,086.9 "," 7,994.4 ",26.2 ,,,,,,,
U.S. East," 6,163.4 "," 4,323.5 ",42.6 ,,,,,,,
Japan, 359.4 , 65.1 ,451.9 ,,,,,,,
Canada, 962.1 , 240.6 ,299.8 ,,,,,,,
Europe, 306.0 , 52.9 ,479.0 ,,,,,,,
Oceania, 516.8 , 19.8 ,"2,504.6 ",,,,,,,
Other Asia, 371.9 , 83.2 ,346.8 ,,,,,,,
Latin America, 59.3 , 29.9 ,98.6 ,,,,,,,
Other, 827.8 , 317.6 ,160.7 ,,,,,,,
Visitor arrivals by cruise ships,45.5 ,0.0 , NA ,,,,,,,
TOTAL VISITOR DAYS,"85,239,792 ","65,312,274 ",30.5 ,,,,,,,
Visitor arrivals by air,"84,736,187 ","65,312,274 ",29.7 ,,,,,,,
U.S. West,"45,472,465 ","40,900,008 ",11.2 ,,,,,,,
U.S. East,"24,443,981 ","20,349,720 ",20.1 ,,,,,,,
Japan,"1,526,608 ","294,720 ",418.0 ,,,,,,,
Canada,"5,069,619 ","1,364,326 ",271.6 ,,,,,,,
Europe,"1,592,705 ","314,899 ",405.8 ,,,,,,,
Oceania,"1,815,212 ","84,413 ","2,050.4 ",,,,,,,
Other Asia,"1,213,166 ","291,950 ",315.5 ,,,,,,,
Latin America,"238,081 ","119,596 ",99.1 ,,,,,,,
Other,"3,364,349 ","1,592,643 ",111.2 ,,,,,,,
Visitor arrivals by cruise ships,"503,605 ",0 , NA ,,,,,,,
VISITOR ARRIVALS,"9,233,983 ","6,777,760 ",36.2 ,,,,,,,
Visitor arrivals by air,"9,138,674 ","6,777,760 ",34.8 ,,,,,,,
U.S. West,"5,277,349 ","4,473,588 ",18.0 ,,,,,,,
U.S. East,"2,469,128 ","1,995,311 ",23.7 ,,,,,,,
Japan,"192,562 ","18,936 ",916.9 ,,,,,,,
Canada,"414,250 ","87,900 ",371.3 ,,,,,,,
Europe,"114,041 ","18,775 ",507.4 ,,,,,,,
Oceania,"186,551 ","6,524 ","2,759.4 ",,,,,,,
Other Asia,"137,506 ","22,524 ",510.5 ,,,,,,,
Latin America,"20,750 ","9,348 ",122.0 ,,,,,,,
Other,"326,536 ","144,853 ",125.4 ,,,,,,,
Visitor arrivals by cruise ships,"95,309 ",0 , NA ,,,,,,,
AVERAGE DAILY CENSUS,"233,534 ","178,938 ",30.5 ,,,,,,,
Visitor arrivals by air,"232,154 ","178,938 ",29.7 ,,,,,,,
U.S. West,"124,582 ","112,055 ",11.2 ,,,,,,,
U.S. East,"66,970 ","55,753 ",20.1 ,,,,,,,
