"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,152,321","65.7%","59.6%","4.4%"
"AGE","","","",""
"    16 to 19 years","62,345","36.7%","28.2%","16.3%"
"    20 to 24 years","99,039","79.8%","61.7%","8.3%"
"    25 to 29 years","105,218","82.6%","71.0%","2.8%"
"    30 to 34 years","100,626","83.6%","74.5%","4.6%"
"    35 to 44 years","179,339","84.5%","77.2%","4.4%"
"    45 to 54 years","177,648","83.3%","80.0%","3.1%"
"    55 to 59 years","91,868","79.2%","76.0%","3.7%"
"    60 to 64 years","92,697","61.2%","58.8%","3.9%"
"    65 to 74 years","138,903","34.1%","33.2%","2.6%"
"    75 years and over","104,638","7.0%","7.0%","0.6%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    White alone","306,100","66.7%","55.8%","4.6%"
"    Black or African American alone","22,312","79.1%","51.4%","8.9%"
"    American Indian and Alaska Native alone","N","N","N","N"
"    Asian alone","475,012","63.0%","60.8%","2.5%"
"    Native Hawaiian and Other Pacific Islander alone","108,537","63.4%","57.7%","8.1%"
"    Some other race alone","9,965","67.9%","54.4%","4.3%"
"    Two or more races","228,323","69.7%","64.2%","5.8%"
"Hispanic or Latino origin (of any race)","97,528","69.8%","59.4%","6.4%"
"White alone, not Hispanic or Latino","276,231","65.9%","55.4%","4.7%"
"Population 20 to 64 years","846,435","80.2%","72.7%","4.2%"
"    SEX","","","",""
"        Male","434,235","84.0%","73.4%","4.3%"
"        Female","412,200","76.2%","72.0%","4.1%"
"            With own children under 18 years","133,097","74.7%","70.5%","4.1%"
"                With own children under 6 years only","32,537","67.4%","62.8%","3.4%"
"                With own children under 6 years and 6 to 17 years","28,458","65.2%","59.2%","8.7%"
"                With own children under 6 to 17 years only","72,102","81.7%","78.5%","2.9%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","74,781","43.4%","33.5%","22.0%"
"    At or above the poverty level","749,194","84.4%","78.5%","3.2%"
"DISABILITY STATUS","","","",""
"    With any disability","66,277","44.8%","39.5%","8.4%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","747,396","80.3%","74.2%","3.7%"
"        Less than high school graduate","43,987","65.3%","61.1%","6.3%"
"        High school graduate (includes equivalency)","202,846","76.1%","70.1%","5.3%"
"        Some college or associate's degree","255,929","80.8%","72.9%","4.1%"
"        Bachelor's degree or higher","244,634","85.9%","81.2%","1.9%"
