"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,093,645","66.6%","58.4%","8.1%"
"AGE","","","",""
"    16 to 19 years","68,631","34.0%","22.5%","28.0%"
"    20 to 24 years","98,086","79.4%","58.2%","14.4%"
"    25 to 44 years","357,264","85.0%","72.9%","8.5%"
"    45 to 54 years","194,443","84.0%","78.2%","5.8%"
"    55 to 64 years","177,095","68.9%","65.7%","4.6%"
"    65 to 74 years","102,915","31.2%","30.0%","4.1%"
"    75 years and over","95,211","6.7%","6.4%","4.4%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    One race","N","N","N","N"
"        White","293,414","68.4%","56.7%","7.3%"
"        Black or African American","16,546","82.3%","53.8%","11.0%"
"        American Indian and Alaska Native","N","N","N","N"
"        Asian","460,912","63.2%","60.0%","4.5%"
"        Native Hawaiian and Other Pacific Islander","99,067","65.2%","54.1%","15.4%"
"        Some other race","11,726","66.5%","49.5%","8.4%"
"    Two or more races","209,320","71.0%","60.1%","13.0%"
"Hispanic or Latino origin (of any race)","80,306","69.2%","54.6%","12.9%"
"White alone, not Hispanic or Latino","273,242","68.0%","56.4%","7.2%"
"Population 20 to 64 years","826,888","80.6%","70.8%","7.7%"
"SEX","","","",""
"    Male","420,123","84.9%","71.5%","8.3%"
"    Female","406,765","76.2%","70.1%","7.0%"
"        With own children under 6 years","59,191","68.1%","58.6%","12.2%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","81,789","52.2%","35.2%","31.7%"
"DISABILITY STATUS","","","",""
"    With any disability","65,466","49.8%","40.9%","15.6%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","728,802","80.8%","72.5%","6.9%"
"    Less than high school graduate","53,407","64.2%","55.2%","13.9%"
"    High school graduate (includes equivalency)","197,491","77.1%","67.0%","10.6%"
"    Some college or associate's degree","251,374","82.9%","74.1%","5.8%"
"    Bachelor's degree or higher","226,530","85.6%","79.7%","3.7%"
"PERCENT IMPUTED","","","",""
"    Employment status for population 16 years and over","6.1%","(X)","(X)","(X)"
