"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,166,220","63.4%","54.6%","7.7%","164,053","57.3%","51.2%","10.6%","810,934","64.5%","54.3%","7.2%","59,072","64.1%","57.3%","9.8%","132,126","64.0%","59.5%","6.7%"
"    AGE","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","58,318","34.9%","24.4%","21.8%","7,201","33.8%","19.0%","43.8%","42,012","34.5%","23.4%","21.3%","3,166","36.3%","35.4%","2.5%","5,939","37.9%","32.3%","10.0%"
"        20 to 24 years","86,215","78.8%","52.1%","13.0%","9,355","72.7%","60.8%","14.5%","66,369","79.2%","48.2%","13.2%","3,380","74.0%","59.7%","6.6%","7,111","85.7%","72.8%","12.6%"
"        25 to 29 years","96,005","81.7%","65.4%","8.3%","12,135","69.9%","59.6%","14.3%","71,040","82.6%","62.9%","8.3%","3,829","85.2%","80.3%","5.1%","8,986","88.8%","86.3%","2.8%"
"        30 to 34 years","101,762","81.1%","66.5%","9.8%","12,468","75.6%","61.1%","19.1%","73,207","80.7%","64.7%","8.3%","5,550","88.2%","81.0%","8.1%","10,537","86.4%","78.2%","9.2%"
"        35 to 44 years","190,893","83.2%","72.2%","7.5%","24,474","79.9%","74.5%","6.7%","133,529","84.3%","71.9%","6.5%","10,119","82.6%","68.6%","16.9%","22,771","80.7%","73.0%","9.5%"
"        45 to 54 years","169,360","83.5%","77.5%","5.2%","23,873","79.4%","76.4%","3.7%","116,865","84.6%","77.7%","5.2%","7,320","88.3%","77.8%","11.9%","21,302","80.8%","77.2%","4.4%"
"        55 to 59 years","88,407","76.3%","72.3%","4.9%","14,351","72.1%","64.8%","10.1%","59,154","77.5%","74.1%","3.9%","4,345","81.0%","79.4%","2.0%","10,557","73.5%","69.6%","5.3%"
"        60 to 64 years","92,693","65.1%","60.8%","6.6%","13,742","53.3%","45.8%","13.9%","60,873","67.2%","63.7%","5.1%","5,691","73.6%","64.6%","12.3%","12,387","64.0%","61.1%","4.6%"
"        65 to 74 years","162,556","31.6%","29.5%","6.8%","29,438","31.0%","28.5%","8.2%","102,962","32.0%","29.7%","7.0%","9,727","29.7%","27.8%","6.6%","20,429","31.6%","30.4%","3.7%"
"        75 years and over","120,011","8.8%","8.5%","3.6%","17,016","9.5%","9.3%","1.8%","84,923","8.0%","7.7%","3.7%","5,945","11.1%","11.1%","0.0%","12,107","12.1%","11.2%","7.0%"
