"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"Population 1 year and over","3,203,439","3.0%","1.9%","0.8%","0.1%","N","N","N","N","N","180,358","2.7%","1.9%","0.7%","0.1%","N","N","N","N","N","150,714","4.5%","2.5%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","332,722","4.1%","2.9%","0.5%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","81,082","6.9%","2.2%","1.6%","0.4%","N","N","N","N","N","4,628","5.2%","2.2%","2.4%","0.0%","N","N","N","N","N","3,756","15.4%","4.3%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,651","2.7%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        5 to 17 years","418,904","3.5%","1.9%","1.1%","0.1%","N","N","N","N","N","22,092","3.8%","1.6%","0.2%","0.0%","N","N","N","N","N","18,798","2.1%","1.3%","1.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,271","5.7%","0.6%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        18 to 24 years","299,015","4.8%","3.1%","0.8%","0.2%","N","N","N","N","N","16,354","5.5%","6.2%","0.0%","0.6%","N","N","N","N","N","13,481","8.5%","8.2%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30,456","5.6%","5.2%","0.6%","1.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        25 to 34 years","405,834","4.7%","4.4%","1.2%","0.3%","N","N","N","N","N","26,326","3.4%","3.0%","1.5%","0.0%","N","N","N","N","N","20,883","6.8%","4.7%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","44,070","6.1%","9.6%","1.8%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        35 to 44 years","398,749","3.1%","2.0%","1.2%","0.1%","N","N","N","N","N","21,268","3.0%","2.5%","1.0%","0.2%","N","N","N","N","N","17,232","4.7%","2.1%","0.6%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","38,288","4.7%","1.6%","0.3%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        45 to 54 years","404,722","2.2%","1.4%","0.5%","0.2%","N","N","N","N","N","20,941","1.7%","1.0%","0.0%","0.0%","N","N","N","N","N","19,533","5.4%","2.7%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,422","2.2%","1.7%","0.1%","1.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        55 to 64 years","438,287","1.6%","1.0%","0.7%","0.1%","N","N","N","N","N","24,296","0.6%","0.8%","0.0%","0.1%","N","N","N","N","N","19,499","2.6%","1.2%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","44,899","2.5%","2.2%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        65 to 74 years","383,979","1.4%","0.7%","0.5%","0.0%","N","N","N","N","N","21,020","1.1%","0.0%","1.5%","0.0%","N","N","N","N","N","17,044","1.6%","1.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","41,007","3.2%","0.8%","0.0%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        75 years and over","372,867","2.2%","0.8%","0.5%","0.1%","N","N","N","N","N","23,433","2.4%","1.1%","0.6%","0.0%","N","N","N","N","N","20,488","2.7%","0.2%","2.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","44,658","3.5%","1.9%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
