Label (Grouping),Puerto Rico!!Estimate,"Arecibo Municipio, Puerto Rico!!Estimate","Bayamón Municipio, Puerto Rico!!Estimate","Caguas Municipio, Puerto Rico!!Estimate","Carolina Municipio, Puerto Rico!!Estimate","Guaynabo Municipio, Puerto Rico!!Estimate","Mayagüez Municipio, Puerto Rico!!Estimate","Ponce Municipio, Puerto Rico!!Estimate","San Juan Municipio, Puerto Rico!!Estimate","Toa Alta Municipio, Puerto Rico!!Estimate","Toa Baja Municipio, Puerto Rico!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Estimate"
Total:,"3,167,190","81,406","164,649","124,148","146,282","83,386","70,715","129,026","312,498","71,897","73,953","63,434"
    Income in the past 12 months below poverty level:,"1,376,809","39,886","53,582","47,851","50,685","19,101","37,217","68,627","124,927","22,348","28,367","17,415"
        Male:,"618,251","18,268","22,045","20,898","19,805","8,266","17,486","32,180","53,981","8,988","11,765","6,591"
            Under 5 years,"37,198",927,"1,661","1,373","1,399",276,"1,002","1,936","3,548",402,708,0
            5 years,"8,041",121,309,388,211,0,565,536,982,0,58,0
            6 to 11 years,"58,097","1,407","2,117","2,056","1,788",517,"1,921","2,771","5,560",831,453,"1,281"
            12 to 14 years,"34,265",807,859,"1,424","1,284",215,286,"1,710","2,702","1,055","1,023",396
            15 years,"10,154",726,126,359,432,319,409,462,862,0,229,0
            16 and 17 years,"19,966",368,739,422,778,267,644,"1,210","1,890",117,506,153
            18 to 24 years,"73,461","2,600","2,541","2,673","3,006","1,272","3,863","4,976","6,460",579,"1,407",834
            25 to 34 years,"65,551","2,226","3,886","2,387","1,553",765,"1,898","3,051","6,848",564,"1,151",506
            35 to 44 years,"58,259","1,146","1,638","2,142","2,134",669,"1,697","3,125","5,088","1,467","1,252",512
            45 to 54 years,"66,961","2,646","2,250","1,941","2,912","1,201","1,242","3,167","5,012",681,"1,345",900
            55 to 64 years,"74,387","2,229","2,202","2,317","1,532","1,091","1,153","3,605","5,254",854,"1,220","1,136"
            65 to 74 years,"60,000","1,413","1,513","1,621","1,350",984,"1,781","3,081","4,547","1,807","1,017",497
            75 years and over,"51,911","1,652","2,204","1,795","1,426",690,"1,025","2,550","5,228",631,"1,396",376
        Female:,"758,558","21,618","31,537","26,953","30,880","10,835","19,731","36,447","70,946","13,360","16,602","10,824"
            Under 5 years,"35,961","1,026","1,254","1,600","1,698",855,958,"1,817","3,389",240,749,608
            5 years,"8,674",101,695,181,126,170,333,530,466,140,0,0
            6 to 11 years,"56,060","1,776","2,283","2,481","2,815",568,"1,164","2,980","4,484",634,"1,479",872
            12 to 14 years,"29,683",290,982,574,"1,433",312,850,"1,272","3,565",0,613,712
            15 years,"8,059",0,287,574,689,365,0,208,830,229,221,0
            16 and 17 years,"17,213",493,756,409,500,133,701,"1,104","2,028",327,489,445
            18 to 24 years,"81,281","2,717","3,269","2,055","3,791",599,"3,463","3,776","7,433","1,989","1,657","1,304"
            25 to 34 years,"96,387","3,218","4,660","2,569","3,278","1,689","2,725","5,236","9,620","2,259","2,460","1,167"
            35 to 44 years,"88,249","2,072","2,529","3,632","2,814","1,039","1,856","4,025","9,204","2,056","1,789","1,138"
            45 to 54 years,"83,618","2,548","3,452","2,670","3,770",961,"1,959","3,747","6,883",992,"1,764","1,029"
            55 to 64 years,"95,920","2,702","3,669","3,656","3,168","1,565","1,604","4,259","7,199","1,605","2,113","1,247"
            65 to 74 years,"77,609","2,236","2,557","2,912","3,331","1,262","1,887","3,959","7,662","1,718","1,421","1,068"
            75 years and over,"79,844","2,439","5,144","3,640","3,467","1,317","2,231","3,534","8,183","1,171","1,847","1,234"
    Income in the past 12 months at or above poverty level:,"1,790,381","41,520","111,067","76,297","95,597","64,285","33,498","60,399","187,571","49,549","45,586","46,019"
        Male:,"881,907","20,330","53,451","36,716","46,695","30,928","16,234","28,793","89,545","25,521","22,829","21,717"
            Under 5 years,"19,448",627,"1,398",768,"1,162","1,142",254,785,"2,616",439,676,259
            5 years,"4,281",0,477,103,128,41,0,372,749,408,0,0
            6 to 11 years,"42,004",824,"2,757","1,863","2,277","2,082",245,"1,078","2,866","1,809","1,692","1,668"
            12 to 14 years,"26,964","1,086","1,849",835,"1,439",865,475,929,"2,366","1,010",775,285
            15 years,"8,830",50,528,269,355,324,108,247,"1,001",49,329,336
            16 and 17 years,"20,540",409,"1,519","1,302","1,065",444,192,421,"1,692",804,282,294
            18 to 24 years,"85,908","1,415","5,445","3,194","3,925","2,546","1,860","1,905","7,464","3,158","2,186","2,229"
            25 to 34 years,"119,809","2,798","7,209","5,265","7,408","4,917","2,185","4,886","11,929","3,386","3,605","3,485"
            35 to 44 years,"126,953","3,261","6,675","5,192","6,115","4,169","1,479","3,529","11,697","4,139","3,371","3,397"
            45 to 54 years,"125,374","2,429","6,585","5,922","5,959","3,832","2,083","3,682","13,482","4,305","2,962","2,949"
            55 to 64 years,"120,460","2,713","7,376","4,901","6,318","4,294","2,893","3,912","13,768","3,601","3,021","2,506"
            65 to 74 years,"104,138","2,743","6,190","4,114","5,526","3,395","2,002","4,048","10,978","1,163","2,467","2,476"
            75 years and over,"77,198","1,975","5,443","2,988","5,018","2,877","2,458","2,999","8,937","1,250","1,463","1,833"
        Female:,"908,474","21,190","57,616","39,581","48,902","33,357","17,264","31,606","98,026","24,028","22,757","24,302"
            Under 5 years,"22,138",416,"1,800",556,878,484,246,791,"2,497",472,558,"1,264"
            5 years,"5,982",262,483,177,234,347,0,125,628,203,0,0
            6 to 11 years,"40,284","1,381","2,034","1,875","1,325","1,707",674,"1,078","3,624","1,437","1,160","1,114"
            12 to 14 years,"27,043",300,"1,508","1,162","1,441",522,317,"1,132","2,233","1,699",589,692
            15 years,"8,282",169,345,191,857,151,159,344,561,0,225,203
            16 and 17 years,"20,600",735,"1,428","1,140",478,655,378,628,"2,063","1,324",409,902
            18 to 24 years,"73,900",963,"4,205","3,523","3,163","2,659","1,478","2,180","6,718","1,700","1,932","2,309"
            25 to 34 years,"98,423","1,795","6,627","5,800","6,336","3,521","1,082","2,675","10,530","2,977","2,451","2,463"
            35 to 44 years,"117,950","3,055","7,900","4,666","6,801","4,231","1,616","3,460","10,745","3,013","3,330","3,329"
            45 to 54 years,"134,080","3,315","7,305","6,172","6,698","4,878","1,894","4,283","14,168","4,592","3,249","3,588"
            55 to 64 years,"136,195","3,082","9,198","5,435","7,082","5,387","3,138","5,381","16,531","3,650","3,429","3,323"
            65 to 74 years,"123,300","3,171","8,174","4,855","6,669","4,365","2,979","4,969","13,852","1,633","3,323","2,940"
            75 years and over,"100,297","2,546","6,609","4,029","6,940","4,450","3,303","4,560","13,876","1,328","2,102","2,175"
