"Label (Grouping)","Puerto Rico!!Estimate","Arecibo Municipio, Puerto Rico!!Estimate","Bayamón Municipio, Puerto Rico!!Estimate","Caguas Municipio, Puerto Rico!!Estimate","Carolina Municipio, Puerto Rico!!Estimate","Guaynabo Municipio, Puerto Rico!!Estimate","Mayagüez Municipio, Puerto Rico!!Estimate","Ponce Municipio, Puerto Rico!!Estimate","San Juan Municipio, Puerto Rico!!Estimate","Toa Alta Municipio, Puerto Rico!!Estimate","Toa Baja Municipio, Puerto Rico!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Estimate"
"Total:","3,177,647","84,091","176,811","124,229","150,444","87,718","68,412","126,411","329,138","65,442","71,710","66,365"
"    Income in the past 12 months below poverty level:","1,257,607","29,369","57,832","43,972","37,347","18,651","36,867","63,660","126,879","23,609","21,349","14,952"
"        Male:","558,822","12,900","22,892","18,150","15,945","8,079","17,421","28,145","55,281","10,280","8,424","6,378"
"            Under 5 years","26,696","192","1,533","848","1,864","260","572","1,796","4,170","513","620","0"
"            5 years","8,246","143","0","546","194","68","559","495","740","169","251","288"
"            6 to 11 years","48,995","1,864","2,252","1,586","1,843","362","1,462","2,818","4,623","897","859","563"
"            12 to 14 years","25,521","454","1,117","432","168","364","584","1,074","2,049","149","267","288"
"            15 years","11,183","0","886","604","213","263","616","0","1,515","0","108","0"
"            16 and 17 years","17,946","402","802","639","12","351","971","1,176","1,626","64","63","0"
"            18 to 24 years","54,834","1,407","1,710","2,219","1,613","439","4,353","2,659","6,027","1,456","1,007","60"
"            25 to 34 years","61,358","1,088","3,149","1,534","1,917","764","1,779","4,970","6,777","1,747","499","386"
"            35 to 44 years","57,919","1,439","1,864","1,442","1,515","667","1,303","3,110","3,936","1,081","1,019","1,109"
"            45 to 54 years","54,338","1,505","2,505","1,927","866","985","966","1,714","5,477","891","1,226","747"
"            55 to 64 years","71,338","1,239","2,175","2,795","2,472","715","1,995","2,729","7,022","1,544","639","939"
"            65 to 74 years","61,666","1,424","2,150","1,674","1,254","1,727","1,191","2,996","5,524","1,313","788","1,036"
"            75 years and over","58,782","1,743","2,749","1,904","2,014","1,114","1,070","2,608","5,795","456","1,078","962"
"        Female:","698,785","16,469","34,940","25,822","21,402","10,572","19,446","35,515","71,598","13,329","12,925","8,574"
