"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","3,167,190","1,376,809","43.5%","81,406","39,886","49.0%","164,649","53,582","32.5%","124,148","47,851","38.5%","146,282","50,685","34.6%","83,386","19,101","22.9%","70,715","37,217","52.6%","129,026","68,627","53.2%","312,498","124,927","40.0%","71,897","22,348","31.1%","73,953","28,367","38.4%","63,434","17,415","27.5%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","569,767","323,371","56.8%","14,301","8,042","56.2%","28,194","12,068","42.8%","22,082","11,841","53.6%","24,792","13,153","53.1%","12,761","3,997","31.3%","11,881","8,833","74.3%","24,466","16,536","67.6%","53,202","30,306","57.0%","13,629","3,975","29.2%","13,223","6,528","49.4%","11,484","4,467","38.9%"
"            Under 5 years","114,745","73,159","63.8%","2,996","1,953","65.2%","6,113","2,915","47.7%","4,297","2,973","69.2%","5,137","3,097","60.3%","2,757","1,131","41.0%","2,460","1,960","79.7%","5,329","3,753","70.4%","12,050","6,937","57.6%","1,553","642","41.3%","2,691","1,457","54.1%","2,131","608","28.5%"
"            5 to 17 years","455,022","250,212","55.0%","11,305","6,089","53.9%","22,081","9,153","41.5%","17,785","8,868","49.9%","19,655","10,056","51.2%","10,004","2,866","28.6%","9,421","6,873","73.0%","19,137","12,783","66.8%","41,152","23,369","56.8%","12,076","3,333","27.6%","10,532","5,071","48.1%","9,353","3,859","41.3%"
"            Related children of householder under 18 years","568,109","321,767","56.6%","14,236","7,977","56.0%","28,086","11,960","42.6%","22,082","11,841","53.6%","24,400","12,761","52.3%","12,666","3,902","30.8%","11,578","8,584","74.1%","24,404","16,474","67.5%","53,014","30,118","56.8%","13,629","3,975","29.2%","13,223","6,528","49.4%","11,484","4,467","38.9%"
"        18 to 64 years","1,923,126","784,074","40.8%","48,930","24,104","49.3%","98,621","30,096","30.5%","76,112","26,042","34.2%","87,763","27,958","31.9%","51,285","10,851","21.2%","41,168","21,460","52.1%","74,860","38,967","52.1%","186,033","69,001","37.1%","47,567","13,046","27.4%","45,694","16,158","35.4%","39,351","9,773","24.8%"
"            18 to 34 years","694,720","316,680","45.6%","17,732","10,761","60.7%","37,842","14,356","37.9%","27,466","9,684","35.3%","32,460","11,628","35.8%","17,968","4,325","24.1%","18,554","11,949","64.4%","28,685","17,039","59.4%","67,002","30,361","45.3%","16,612","5,391","32.5%","16,849","6,675","39.6%","14,297","3,811","26.7%"
"            35 to 64 years","1,228,406","467,394","38.0%","31,198","13,343","42.8%","60,779","15,740","25.9%","48,646","16,358","33.6%","55,303","16,330","29.5%","33,317","6,526","19.6%","22,614","9,511","42.1%","46,175","21,928","47.5%","119,031","38,640","32.5%","30,955","7,655","24.7%","28,845","9,483","32.9%","25,054","5,962","23.8%"
"        60 years and over","886,559","353,762","39.9%","22,874","9,214","40.3%","48,383","14,079","29.1%","33,730","13,052","38.7%","43,434","12,012","27.7%","25,853","5,480","21.2%","21,830","8,089","37.1%","38,440","16,986","44.2%","94,800","32,777","34.6%","15,135","6,338","41.9%","19,671","7,397","37.6%","17,136","4,926","28.7%"
"        65 years and over","674,297","269,364","39.9%","18,175","7,740","42.6%","37,834","11,418","30.2%","25,954","9,968","38.4%","33,727","9,574","28.4%","19,340","4,253","22.0%","17,666","6,924","39.2%","29,700","13,124","44.2%","73,263","25,620","35.0%","10,701","5,327","49.8%","15,036","5,681","37.8%","12,599","3,175","25.2%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,500,158","618,251","41.2%","38,598","18,268","47.3%","75,496","22,045","29.2%","57,614","20,898","36.3%","66,500","19,805","29.8%","39,194","8,266","21.1%","33,720","17,486","51.9%","60,973","32,180","52.8%","143,526","53,981","37.6%","34,509","8,988","26.0%","34,594","11,765","34.0%","28,308","6,591","23.3%"
"        Female","1,667,032","758,558","45.5%","42,808","21,618","50.5%","89,153","31,537","35.4%","66,534","26,953","40.5%","79,782","30,880","38.7%","44,192","10,835","24.5%","36,995","19,731","53.3%","68,053","36,447","53.6%","168,972","70,946","42.0%","37,388","13,360","35.7%","39,359","16,602","42.2%","35,126","10,824","30.8%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","2,036,706","831,478","40.8%","56,328","26,736","47.5%","111,917","35,175","31.4%","91,647","33,528","36.6%","83,355","26,558","31.9%","56,547","9,680","17.1%","25,349","10,490","41.4%","105,946","55,375","52.3%","179,655","58,043","32.3%","60,776","19,217","31.6%","57,095","22,245","39.0%","37,635","9,003","23.9%"
"        Black or African American alone","391,675","179,788","45.9%","N","N","N","13,737","4,688","34.1%","9,819","3,367","34.3%","25,694","10,166","39.6%","8,666","3,917","45.2%","N","N","N","7,834","4,467","57.0%","40,757","23,069","56.6%","5,945","1,946","32.7%","9,739","2,919","30.0%","8,949","1,716","19.2%"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","502,971","261,347","52.0%","19,789","10,933","55.2%","10,480","1,885","18.0%","18,417","8,315","45.1%","30,018","11,431","38.1%","13,432","4,112","30.6%","42,745","25,670","60.1%","N","N","N","51,902","31,623","60.9%","N","N","N","N","N","N","N","N","N"
"        Two or more races","226,295","100,165","44.3%","N","N","N","27,912","11,693","41.9%","N","N","N","N","N","N","N","N","N","N","N","N","10,289","6,307","61.3%","38,295","11,369","29.7%","N","N","N","N","N","N","15,383","6,567","42.7%"
"        Hispanic or Latino origin (of any race)","3,108,492","1,354,980","43.6%","80,561","39,627","49.2%","161,721","52,919","32.7%","121,293","47,178","38.9%","144,858","50,378","34.8%","82,082","18,921","23.1%","70,171","37,179","53.0%","127,415","68,420","53.7%","303,403","122,849","40.5%","70,141","21,328","30.4%","72,427","27,435","37.9%","62,678","17,195","27.4%"
"        White alone, not Hispanic or Latino","42,577","14,275","33.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,883","1,380","17.5%","N","N","N","N","N","N","N","N","N"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","2,282,873","898,696","39.4%","59,410","26,527","44.7%","120,995","35,704","29.5%","90,621","31,282","34.5%","107,605","30,735","28.6%","63,549","13,233","20.8%","48,170","21,058","43.7%","91,723","43,339","47.2%","231,221","80,728","34.9%","50,842","15,805","31.1%","53,548","18,775","35.1%","45,274","10,810","23.9%"
"            Less than high school graduate","482,273","301,583","62.5%","11,944","8,133","68.1%","20,520","11,039","53.8%","13,813","9,592","69.4%","13,851","6,990","50.5%","8,106","3,697","45.6%","11,407","6,794","59.6%","18,108","12,543","69.3%","36,848","22,044","59.8%","8,628","5,437","63.0%","9,636","5,626","58.4%","6,319","3,699","58.5%"
"            High school graduate (includes equivalency)","640,740","310,056","48.4%","18,882","8,864","46.9%","27,505","8,894","32.3%","27,276","11,264","41.3%","28,271","11,907","42.1%","12,254","3,867","31.6%","13,218","6,139","46.4%","27,997","16,099","57.5%","47,596","27,490","57.8%","10,822","4,065","37.6%","13,768","6,700","48.7%","10,235","2,834","27.7%"
"            Some college, associate's degree","536,185","183,785","34.3%","13,480","6,126","45.4%","37,055","10,821","29.2%","19,731","6,126","31.0%","28,962","8,078","27.9%","13,877","3,647","26.3%","9,801","5,125","52.3%","17,193","7,698","44.8%","52,573","17,771","33.8%","18,372","5,006","27.2%","16,200","4,933","30.5%","10,908","2,707","24.8%"
"            Bachelor's degree or higher","623,675","103,272","16.6%","15,104","3,404","22.5%","35,915","4,950","13.8%","29,801","4,300","14.4%","36,521","3,760","10.3%","29,312","2,022","6.9%","13,744","3,000","21.8%","28,425","6,999","24.6%","94,204","13,423","14.2%","13,020","1,297","10.0%","13,944","1,516","10.9%","17,812","1,570","8.8%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,213,576","349,836","28.8%","30,200","11,989","39.7%","71,950","16,543","23.0%","52,224","11,938","22.9%","64,279","14,517","22.6%","39,237","4,904","12.5%","25,260","10,311","40.8%","40,612","13,258","32.6%","140,720","40,092","28.5%","29,602","3,919","13.2%","31,768","7,746","24.4%","28,710","5,330","18.6%"
"            Employed","1,042,206","232,169","22.3%","24,084","7,476","31.0%","65,019","11,587","17.8%","47,132","8,270","17.5%","56,182","8,806","15.7%","35,993","3,585","10.0%","19,207","5,257","27.4%","36,614","10,379","28.3%","115,527","21,437","18.6%","28,383","3,578","12.6%","27,886","5,193","18.6%","27,989","5,042","18.0%"
"                Male","553,790","118,483","21.4%","12,808","3,664","28.6%","34,091","6,078","17.8%","23,502","3,517","15.0%","27,547","3,745","13.6%","18,775","1,872","10.0%","10,318","2,186","21.2%","18,761","5,600","29.8%","61,047","11,202","18.3%","14,738","990","6.7%","15,024","2,832","18.8%","14,628","2,293","15.7%"
"                Female","488,416","113,686","23.3%","11,276","3,812","33.8%","30,928","5,509","17.8%","23,630","4,753","20.1%","28,635","5,061","17.7%","17,218","1,713","9.9%","8,889","3,071","34.5%","17,853","4,779","26.8%","54,480","10,235","18.8%","13,645","2,588","19.0%","12,862","2,361","18.4%","13,361","2,749","20.6%"
