"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,277,486","1,277,486","873,896","873,896","403,590","403,590","33,466","33,466","22,830","22,830","10,636","10,636","76,203","76,203","53,562","53,562","22,641","22,641","51,579","51,579","35,192","35,192","16,387","16,387","63,447","63,447","45,987","45,987","17,460","17,460","34,184","34,184","23,345","23,345","10,839","10,839","31,111","31,111","14,182","14,182","16,929","16,929","56,772","56,772","34,951","34,951","21,821","21,821","150,969","150,969","81,795","81,795","69,174","69,174","24,486","24,486","20,218","20,218","4,268","4,268","30,304","30,304","21,741","21,741","8,563","8,563","27,299","27,299","20,827","20,827","6,472","6,472"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","156,974","12.3%","63,851","7.3%","93,123","23.1%","3,814","11.4%","1,611","7.1%","2,203","20.7%","8,430","11.1%","3,028","5.7%","5,402","23.9%","6,260","12.1%","2,644","7.5%","3,616","22.1%","5,399","8.5%","1,950","4.2%","3,449","19.8%","1,771","5.2%","614","2.6%","1,157","10.7%","6,518","21.0%","541","3.8%","5,977","35.3%","11,818","20.8%","3,531","10.1%","8,287","38.0%","22,026","14.6%","5,320","6.5%","16,706","24.2%","2,098","8.6%","1,012","5.0%","1,086","25.4%","2,522","8.3%","1,371","6.3%","1,151","13.4%","1,373","5.0%","1,122","5.4%","251","3.9%"
"        $5,000 to $9,999","112,865","8.8%","63,250","7.2%","49,615","12.3%","3,417","10.2%","2,231","9.8%","1,186","11.2%","5,806","7.6%","3,239","6.0%","2,567","11.3%","4,242","8.2%","1,868","5.3%","2,374","14.5%","3,162","5.0%","1,173","2.6%","1,989","11.4%","2,195","6.4%","1,173","5.0%","1,022","9.4%","2,628","8.4%","749","5.3%","1,879","11.1%","5,890","10.4%","2,811","8.0%","3,079","14.1%","12,677","8.4%","3,569","4.4%","9,108","13.2%","1,740","7.1%","1,452","7.2%","288","6.7%","1,287","4.2%","710","3.3%","577","6.7%","1,017","3.7%","490","2.4%","527","8.1%"
"        $10,000 to $14,999","135,201","10.6%","86,353","9.9%","48,848","12.1%","3,951","11.8%","2,208","9.7%","1,743","16.4%","6,614","8.7%","4,418","8.2%","2,196","9.7%","3,797","7.4%","1,837","5.2%","1,960","12.0%","4,004","6.3%","2,234","4.9%","1,770","10.1%","2,656","7.8%","1,328","5.7%","1,328","12.3%","4,531","14.6%","2,033","14.3%","2,498","14.8%","6,727","11.8%","3,862","11.0%","2,865","13.1%","14,067","9.3%","5,966","7.3%","8,101","11.7%","2,067","8.4%","1,755","8.7%","312","7.3%","2,444","8.1%","1,733","8.0%","711","8.3%","1,408","5.2%","889","4.3%","519","8.0%"
"        $15,000 to $19,999","115,842","9.1%","74,274","8.5%","41,568","10.3%","2,187","6.5%","1,750","7.7%","437","4.1%","6,005","7.9%","3,975","7.4%","2,030","9.0%","3,962","7.7%","2,401","6.8%","1,561","9.5%","4,306","6.8%","2,946","6.4%","1,360","7.8%","1,548","4.5%","860","3.7%","688","6.3%","3,675","11.8%","1,204","8.5%","2,471","14.6%","5,263","9.3%","3,870","11.1%","1,393","6.4%","10,869","7.2%","4,479","5.5%","6,390","9.2%","2,305","9.4%","1,516","7.5%","789","18.5%","2,779","9.2%","1,245","5.7%","1,534","17.9%","1,936","7.1%","1,489","7.1%","447","6.9%"
"        $20,000 to $24,999","106,088","8.3%","72,618","8.3%","33,470","8.3%","3,064","9.2%","2,355","10.3%","709","6.7%","6,388","8.4%","4,048","7.6%","2,340","10.3%","3,778","7.3%","2,367","6.7%","1,411","8.6%","5,952","9.4%","3,456","7.5%","2,496","14.3%","2,294","6.7%","1,791","7.7%","503","4.6%","2,898","9.3%","1,927","13.6%","971","5.7%","3,511","6.2%","2,365","6.8%","1,146","5.3%","11,611","7.7%","6,382","7.8%","5,229","7.6%","2,056","8.4%","1,231","6.1%","825","19.3%","2,903","9.6%","1,402","6.4%","1,501","17.5%","1,732","6.3%","864","4.1%","868","13.4%"
"        $25,000 to $34,999","159,795","12.5%","112,283","12.8%","47,512","11.8%","4,975","14.9%","3,386","14.8%","1,589","14.9%","8,908","11.7%","6,574","12.3%","2,334","10.3%","6,823","13.2%","4,521","12.8%","2,302","14.0%","8,628","13.6%","6,539","14.2%","2,089","12.0%","2,801","8.2%","1,453","6.2%","1,348","12.4%","3,490","11.2%","2,146","15.1%","1,344","7.9%","6,013","10.6%","4,162","11.9%","1,851","8.5%","14,644","9.7%","8,745","10.7%","5,899","8.5%","2,716","11.1%","2,226","11.0%","490","11.5%","3,893","12.8%","2,989","13.7%","904","10.6%","2,855","10.5%","1,629","7.8%","1,226","18.9%"
"        $35,000 to $49,999","161,782","12.7%","122,357","14.0%","39,425","9.8%","3,255","9.7%","2,214","9.7%","1,041","9.8%","11,135","14.6%","8,461","15.8%","2,674","11.8%","7,463","14.5%","5,732","16.3%","1,731","10.6%","9,355","14.7%","7,984","17.4%","1,371","7.9%","4,418","12.9%","3,022","12.9%","1,396","12.9%","2,756","8.9%","1,430","10.1%","1,326","7.8%","6,594","11.6%","4,765","13.6%","1,829","8.4%","16,998","11.3%","11,355","13.9%","5,643","8.2%","3,256","13.3%","2,978","14.7%","278","6.5%","4,637","15.3%","3,845","17.7%","792","9.2%","3,644","13.3%","2,861","13.7%","783","12.1%"
"        $50,000 to $74,999","156,031","12.2%","127,237","14.6%","28,794","7.1%","3,906","11.7%","3,470","15.2%","436","4.1%","10,055","13.2%","8,778","16.4%","1,277","5.6%","6,065","11.8%","5,077","14.4%","988","6.0%","11,596","18.3%","9,507","20.7%","2,089","12.0%","4,462","13.1%","3,272","14.0%","1,190","11.0%","1,994","6.4%","1,771","12.5%","223","1.3%","5,403","9.5%","4,754","13.6%","649","3.0%","19,581","13.0%","13,180","16.1%","6,401","9.3%","3,946","16.1%","3,746","18.5%","200","4.7%","5,538","18.3%","4,490","20.7%","1,048","12.2%","5,605","20.5%","4,165","20.0%","1,440","22.2%"
"        $75,000 to $99,999","72,026","5.6%","61,113","7.0%","10,913","2.7%","2,387","7.1%","1,329","5.8%","1,058","9.9%","5,384","7.1%","4,717","8.8%","667","2.9%","3,850","7.5%","3,744","10.6%","106","0.6%","4,640","7.3%","4,194","9.1%","446","2.6%","3,472","10.2%","2,805","12.0%","667","6.2%","1,178","3.8%","989","7.0%","189","1.1%","2,407","4.2%","2,203","6.3%","204","0.9%","11,143","7.4%","7,984","9.8%","3,159","4.6%","1,433","5.9%","1,433","7.1%","0","0.0%","2,553","8.4%","2,325","10.7%","228","2.7%","1,856","6.8%","1,810","8.7%","46","0.7%"
"        $100,000 to $149,999","60,952","4.8%","55,597","6.4%","5,355","1.3%","2,311","6.9%","2,193","9.6%","118","1.1%","5,092","6.7%","4,263","8.0%","829","3.7%","2,870","5.6%","2,757","7.8%","113","0.7%","3,997","6.3%","3,647","7.9%","350","2.0%","2,945","8.6%","2,253","9.7%","692","6.4%","863","2.8%","812","5.7%","51","0.3%","2,339","4.1%","1,998","5.7%","341","1.6%","8,126","5.4%","7,247","8.9%","879","1.3%","2,233","9.1%","2,233","11.0%","0","0.0%","1,281","4.2%","1,221","5.6%","60","0.7%","3,101","11.4%","3,101","14.9%","0","0.0%"
"        $150,000 or more","39,930","3.1%","34,963","4.0%","4,967","1.2%","199","0.6%","83","0.4%","116","1.1%","2,386","3.1%","2,061","3.8%","325","1.4%","2,469","4.8%","2,244","6.4%","225","1.4%","2,408","3.8%","2,357","5.1%","51","0.3%","5,622","16.4%","4,774","20.4%","848","7.8%","580","1.9%","580","4.1%","0","0.0%","807","1.4%","630","1.8%","177","0.8%","9,227","6.1%","7,568","9.3%","1,659","2.4%","636","2.6%","636","3.1%","0","0.0%","467","1.5%","410","1.9%","57","0.7%","2,772","10.2%","2,407","11.6%","365","5.6%"
