"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"Population 16 years and over","2,796,511","47.5%","43.4%","8.4%","74,807","46.6%","41.1%","11.8%","158,490","48.9%","46.2%","5.1%","109,154","50.6%","48.4%","4.4%","132,309","53.8%","49.6%","7.2%","79,149","56.0%","54.7%","2.3%","60,786","37.0%","32.3%","12.4%","112,589","44.0%","37.2%","15.4%","291,686","52.3%","47.4%","9.1%","N","N","N","N","62,334","58.1%","53.9%","7.2%","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","155,831","19.9%","13.7%","31.3%","4,182","12.5%","4.5%","63.9%","7,883","22.8%","16.0%","30.1%","5,897","17.2%","10.1%","41.1%","6,950","15.2%","15.2%","0.0%","2,581","8.1%","8.1%","0.0%","4,445","19.6%","4.4%","77.6%","7,046","20.1%","11.4%","43.0%","14,637","24.5%","15.8%","35.6%","N","N","N","N","2,664","17.8%","15.1%","15.2%","N","N","N","N"
"        20 to 24 years","212,615","61.6%","50.9%","16.9%","4,966","47.7%","36.5%","23.5%","11,754","66.9%","61.2%","8.6%","8,057","66.5%","57.3%","13.8%","9,596","60.9%","57.0%","6.5%","6,888","71.1%","65.5%","7.9%","8,787","43.5%","35.7%","17.9%","8,572","64.3%","47.8%","25.6%","21,670","58.3%","48.3%","17.1%","N","N","N","N","5,418","84.1%","76.5%","9.0%","N","N","N","N"
"        25 to 29 years","206,423","77.9%","69.1%","11.0%","5,984","91.3%","74.2%","18.7%","13,805","72.3%","66.0%","8.7%","8,615","86.1%","81.3%","5.5%","10,551","93.8%","86.0%","8.0%","4,915","72.5%","72.5%","0.0%","4,254","75.2%","60.0%","20.1%","9,107","77.1%","61.1%","20.8%","23,142","77.3%","67.4%","12.5%","N","N","N","N","5,095","86.5%","81.4%","5.9%","N","N","N","N"
"        30 to 34 years","205,615","79.7%","74.1%","6.7%","6,020","74.9%","66.5%","11.2%","13,337","77.7%","75.6%","1.4%","8,932","72.7%","71.8%","1.2%","10,753","88.3%","80.2%","9.1%","6,512","78.7%","78.7%","0.0%","3,675","61.1%","59.9%","1.9%","8,664","76.0%","66.4%","11.2%","21,883","83.8%","78.0%","7.0%","N","N","N","N","5,103","98.1%","98.1%","0.0%","N","N","N","N"
"        35 to 44 years","395,225","78.9%","72.8%","7.4%","9,490","85.6%","70.6%","17.5%","21,407","76.7%","73.7%","2.9%","15,480","73.1%","70.5%","3.6%","17,093","87.9%","77.3%","10.7%","10,533","80.2%","79.5%","0.8%","7,554","62.1%","57.5%","5.1%","14,142","76.9%","66.9%","13.0%","38,095","82.6%","75.2%","8.6%","N","N","N","N","9,144","91.9%","86.1%","6.4%","N","N","N","N"
"        45 to 54 years","401,698","70.3%","65.8%","6.1%","11,039","61.3%","60.5%","1.3%","20,804","69.4%","67.5%","2.7%","16,412","81.7%","80.6%","1.4%","19,147","85.3%","78.6%","6.5%","10,682","83.1%","79.9%","3.8%","5,451","59.3%","55.2%","7.0%","14,573","66.5%","59.0%","11.3%","39,652","76.2%","70.2%","7.4%","N","N","N","N","9,078","78.1%","70.3%","10.0%","N","N","N","N"
"        55 to 59 years","200,217","54.6%","51.5%","5.5%","6,000","59.8%","55.9%","5.4%","10,670","60.0%","55.8%","7.0%","7,427","56.0%","55.1%","1.6%","10,008","56.1%","52.9%","5.8%","6,300","74.5%","71.7%","3.8%","3,110","59.9%","56.6%","5.5%","8,177","52.7%","46.5%","11.8%","22,079","68.8%","62.6%","8.9%","N","N","N","N","3,967","71.8%","65.3%","9.1%","N","N","N","N"
"        60 to 64 years","229,373","34.7%","33.5%","3.6%","5,796","26.1%","26.1%","0.0%","12,732","47.0%","45.3%","3.6%","9,151","49.0%","48.4%","1.1%","9,484","48.3%","46.8%","3.0%","6,292","67.1%","67.1%","0.0%","4,515","33.7%","29.7%","11.8%","7,952","16.4%","15.1%","8.2%","21,387","49.0%","48.2%","1.5%","N","N","N","N","5,220","49.9%","44.2%","11.6%","N","N","N","N"
"        65 to 74 years","387,469","12.0%","11.5%","4.1%","9,905","16.4%","16.4%","0.0%","21,388","14.6%","14.3%","1.7%","14,115","10.0%","9.3%","7.8%","16,574","13.3%","13.3%","0.0%","12,152","25.4%","25.4%","0.0%","8,287","10.4%","10.4%","0.0%","16,753","14.7%","13.7%","7.1%","40,939","25.1%","23.7%","5.3%","N","N","N","N","8,064","10.0%","9.5%","5.3%","N","N","N","N"
"        75 years and over","402,045","3.1%","3.0%","3.1%","11,425","3.4%","3.4%","0.0%","24,710","4.7%","4.3%","8.9%","15,068","1.5%","1.5%","0.0%","22,153","5.1%","5.1%","0.0%","12,294","9.6%","9.1%","5.3%","10,708","1.9%","1.9%","0.0%","17,603","2.1%","1.5%","28.4%","48,202","5.2%","5.2%","0.0%","N","N","N","N","8,581","0.0%","0.0%","-","N","N","N","N"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","632,532","44.7%","40.7%","8.7%","N","N","N","N","18,444","43.2%","37.3%","13.3%","31,931","43.7%","41.9%","4.0%","15,966","54.6%","48.1%","6.6%","24,275","54.6%","53.0%","3.0%","15,252","34.9%","30.7%","12.2%","N","N","N","N","52,180","48.5%","44.3%","8.1%","N","N","N","N","N","N","N","N","5,374","37.7%","34.3%","8.9%"
"        Black or African American alone","155,722","50.7%","46.3%","8.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27,470","59.6%","55.4%","7.0%","N","N","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","921,158","49.0%","44.9%","8.1%","N","N","N","N","75,051","51.9%","50.0%","3.0%","28,806","59.0%","54.8%","7.0%","46,935","57.1%","50.9%","10.8%","18,643","52.1%","49.9%","4.2%","34,163","38.7%","33.4%","13.0%","N","N","N","N","86,019","56.1%","50.3%","10.4%","16,996","49.2%","48.4%","1.7%","42,215","62.5%","58.6%","6.1%","N","N","N","N"
"        Two or more races","1,073,413","47.3%","43.1%","8.6%","52,032","45.8%","40.1%","12.3%","55,125","47.6%","44.6%","6.3%","N","N","N","N","55,657","50.5%","48.6%","3.8%","27,897","57.7%","57.0%","1.2%","8,896","34.4%","31.6%","8.3%","79,609","45.4%","36.5%","19.2%","124,851","49.5%","44.8%","9.2%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Hispanic or Latino origin (of any race)","2,764,466","47.5%","43.4%","8.4%","74,702","46.6%","41.0%","11.9%","157,190","48.8%","46.2%","4.9%","107,429","50.9%","48.7%","4.4%","129,810","53.7%","49.8%","7.0%","77,899","56.0%","54.6%","2.4%","59,904","37.2%","32.3%","12.6%","111,930","43.8%","37.0%","15.4%","287,553","52.2%","47.3%","9.1%","57,549","55.8%","55.4%","0.7%","61,859","58.2%","54.1%","7.2%","57,852","48.7%","46.4%","4.6%"
"        White alone, not Hispanic or Latino","20,446","45.4%","41.2%","6.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Population 20 to 64 years","1,851,166","66.9%","61.3%","8.1%","49,295","65.6%","57.8%","11.7%","104,509","68.4%","65.0%","4.5%","74,074","71.0%","68.4%","3.7%","86,632","77.1%","70.6%","7.7%","52,122","76.4%","74.5%","2.4%","37,346","55.1%","49.1%","10.3%","71,187","63.6%","54.0%","14.9%","187,908","72.5%","65.9%","8.9%","N","N","N","N","43,025","81.2%","75.4%","7.1%","N","N","N","N"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","884,820","71.1%","65.1%","8.0%","23,608","68.5%","61.1%","10.6%","50,249","69.8%","65.6%","5.2%","34,499","74.5%","72.6%","2.5%","40,542","81.6%","73.9%","8.7%","24,923","74.8%","72.4%","3.2%","18,027","59.3%","52.2%","11.0%","34,970","65.8%","54.9%","16.2%","87,895","77.4%","70.3%","8.7%","N","N","N","N","20,630","85.4%","80.2%","6.1%","N","N","N","N"
